cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%
shake_intensity,3,2020-04-06 00:10:00,0.5413829,0.3696023, 0.11103510, 1.23768609, 0.09463043, 0.96295586, 0.11103510, 0.76648585,0.24117955,0.57810016,  0.09463043,  0.12137061,  0.14227688,  0.15312401,  0.17744111,  0.19926235,  0.24024899,  0.25619398,  0.27374330,  0.28408000,  0.29994305,  0.31771408,  0.32849773,  0.35282117,  0.36194054,  0.37913351,  0.40220322,  0.40698794,  0.42103199,  0.44122287,  0.45623134,  0.48037829,  0.49444863,  0.52857285,  0.55151597,  0.56327100,  0.57553275,  0.59215452,  0.61382438,  0.65760215,  0.68141995,  0.70923424,  0.73965618,  0.78116314,  0.82758586,  0.91795847,  0.94669269,  1.10119014,  1.21958562,  1.40608777,  2.57171187
shake_intensity,3,2020-04-06 00:15:00,0.5318011,0.3406796, 0.09534300, 1.15427861, 0.09534300, 0.94428017, 0.10150428, 0.75741496,0.25218305,0.57839025,  0.09534300,  0.12563006,  0.13977820,  0.15641156,  0.17341050,  0.19451320,  0.21862821,  0.25199081,  0.26270479,  0.27935365,  0.29636357,  0.30834003,  0.31297929,  0.34178507,  0.35293719,  0.36036785,  0.38356174,  0.41359478,  0.43934455,  0.45016959,  0.46316047,  0.47617813,  0.50921561,  0.51964384,  0.54045679,  0.56070581,  0.57127978,  0.57816163,  0.59046605,  0.65165236,  0.67520643,  0.71077491,  0.74737700,  0.78596389,  0.84267706,  0.86299439,  0.92761696,  1.07773642,  1.14409214,  1.32983655,  3.26564709
shake_intensity,3,2020-04-06 00:20:00,0.5325466,0.3534608, 0.10049580, 1.20520530, 0.10049580, 0.97596987, 0.10049580, 0.77542010,0.22862146,0.57703437,  0.10049580,  0.11355103,  0.14422556,  0.15500168,  0.17446207,  0.19107647,  0.21985385,  0.23234707,  0.25266503,  0.26838877,  0.28866418,  0.30298087,  0.32085062,  0.35014374,  0.36191915,  0.37052630,  0.37727503,  0.39913624,  0.42696919,  0.44339096,  0.45618127,  0.48517378,  0.50255940,  0.50864543,  0.53131792,  0.55931174,  0.57409504,  0.59335263,  0.65317741,  0.66786468,  0.69417241,  0.73346587,  0.77457232,  0.80670022,  0.85062226,  0.89491257,  0.97335644,  1.03063193,  1.15389308,  1.31151871,  2.51496229
shake_intensity,3,2020-04-06 00:25:00,0.5240687,0.3467805, 0.10587348, 1.16038780, 0.11172228, 1.08054959, 0.11763528, 0.75606533,0.11931020,0.44591990,  0.10587348,  0.11996855,  0.13130572,  0.14821101,  0.17587193,  0.18770116,  0.20614257,  0.22991691,  0.24917656,  0.26676367,  0.28362720,  0.29775856,  0.31073543,  0.33085100,  0.34771123,  0.36562584,  0.37713794,  0.38916480,  0.40735346,  0.42837052,  0.44279999,  0.44868505,  0.47086669,  0.50332759,  0.52443010,  0.54704539,  0.56527166,  0.59587339,  0.62039406,  0.64511827,  0.69232932,  0.71579412,  0.74151706,  0.75853877,  0.84010994,  0.90272311,  1.04466916,  1.11525195,  1.15329078,  1.31890724,  2.72095970
shake_intensity,3,2020-04-06 00:30:00,0.5172345,0.3062181, 0.09672278, 1.19887463, 0.08281433, 1.02889558, 0.11973675, 0.73175495,0.12635922,0.45579931,  0.08281433,  0.11957026,  0.13997718,  0.15141318,  0.17287058,  0.19090650,  0.19811291,  0.21459671,  0.23248060,  0.25040811,  0.26729545,  0.28783710,  0.31643275,  0.33599227,  0.34512927,  0.35727531,  0.36111405,  0.37789923,  0.38771381,  0.41912457,  0.43914428,  0.45101441,  0.50142529,  0.51867472,  0.54080687,  0.55980699,  0.58459392,  0.59427760,  0.61351458,  0.65055106,  0.67210920,  0.70581554,  0.71838169,  0.73114254,  0.77514638,  0.83576096,  1.01132443,  1.10007549,  1.14581573,  1.30071876,  2.56292234
shake_intensity,3,2020-04-06 00:35:00,0.5088618,0.2906476, 0.07334801, 1.20515741, 0.07334801, 0.93918446, 0.08737899, 0.72719286,0.16047594,0.49048520,  0.07334801,  0.11100592,  0.13463114,  0.16179352,  0.17197288,  0.19006116,  0.20648156,  0.21108963,  0.22196302,  0.24643353,  0.26939792,  0.27986816,  0.29862009,  0.31525419,  0.33269983,  0.34386685,  0.36695083,  0.37337719,  0.38457498,  0.40123280,  0.43084378,  0.47179913,  0.48352772,  0.49478237,  0.52090962,  0.54047743,  0.56593280,  0.57483113,  0.61281655,  0.64046794,  0.67284534,  0.70359947,  0.71891387,  0.76966309,  0.82078572,  0.88862799,  0.92255582,  1.01825697,  1.17981909,  1.30990239,  2.10130944
shake_intensity,3,2020-04-06 00:40:00,0.5023322,0.2971537, 0.06658299, 1.13589481, 0.09974046, 1.00171413, 0.08057217, 0.71675319,0.12047645,0.44114106,  0.06658299,  0.10326487,  0.13452523,  0.15852912,  0.17645784,  0.18538322,  0.20946089,  0.21761222,  0.24190235,  0.25549064,  0.26586595,  0.27749791,  0.29050044,  0.30738574,  0.32810471,  0.33971462,  0.35918984,  0.37208645,  0.38678257,  0.40850434,  0.41741578,  0.43281918,  0.45585735,  0.48820859,  0.51961429,  0.55484668,  0.56788756,  0.58723799,  0.60466261,  0.62732679,  0.65119840,  0.67254588,  0.69638739,  0.74643103,  0.79984637,  0.90148713,  0.98713995,  1.00531286,  1.13090222,  1.27199102,  2.02181501
shake_intensity,3,2020-04-06 00:45:00,0.4893843,0.3173239, 0.07897505, 1.08131052, 0.12493925, 0.97301873, 0.12493925, 0.78193745,0.12493925,0.43548610,  0.06068605,  0.12496858,  0.13307064,  0.14405770,  0.16270801,  0.18257773,  0.18895347,  0.20298555,  0.23878606,  0.25512372,  0.25718914,  0.27591314,  0.28845170,  0.30629540,  0.32475187,  0.34153995,  0.35910389,  0.37206678,  0.38274198,  0.39437729,  0.41824527,  0.43626648,  0.44881004,  0.45851498,  0.47734930,  0.52341477,  0.54066616,  0.55495163,  0.58057035,  0.59683014,  0.64599136,  0.67186601,  0.72452716,  0.78273463,  0.81371010,  0.85268780,  0.91769536,  0.97509642,  1.06735213,  1.26218886,  1.87702743
shake_intensity,3,2020-04-06 00:50:00,0.4775526,0.3185411, 0.07342107, 1.02877542, 0.12066850, 0.95861650, 0.12289854, 0.72140069,0.12462003,0.41514100,  0.05701972,  0.12058854,  0.12705598,  0.15388390,  0.16009412,  0.17054789,  0.18405245,  0.21591436,  0.23580222,  0.24590653,  0.26280678,  0.27765650,  0.29404928,  0.30409888,  0.32351747,  0.33068376,  0.34521664,  0.36620600,  0.37090146,  0.38884678,  0.40191328,  0.41369962,  0.43391542,  0.45248176,  0.47005854,  0.49144317,  0.52767241,  0.56433380,  0.58403010,  0.61352963,  0.64370163,  0.66292758,  0.69332271,  0.71926928,  0.78258770,  0.83179793,  0.88246027,  0.95761586,  1.02028403,  1.20363852,  1.72765927
shake_intensity,3,2020-04-06 00:55:00,0.4614580,0.2888635, 0.07428514, 1.01791546, 0.11091588, 0.87734864, 0.13249995, 0.74984048,0.13249995,0.42311039,  0.04513565,  0.11081776,  0.13183804,  0.14348310,  0.15882427,  0.17534317,  0.19181642,  0.19851795,  0.22391954,  0.23933050,  0.25486454,  0.26856588,  0.27749409,  0.29196994,  0.30513719,  0.32010187,  0.32739051,  0.34269832,  0.35109444,  0.37461354,  0.38880725,  0.40248561,  0.42008801,  0.45320896,  0.46889129,  0.49294494,  0.53445988,  0.55420323,  0.59062919,  0.59750130,  0.64650724,  0.66146917,  0.68097498,  0.73073115,  0.74914437,  0.77779822,  0.82713129,  0.87561721,  0.95649360,  1.08907624,  1.73444601
