cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end
buildings,1,2020-04-06 02:00:00,5.022589,4.858967,2.751066,7.612548,3.079716,6.822117,3.222869,5.918076,3.950973,5.295403,2020-04-06 02:00:00
buildings,1,2020-04-06 02:15:00,5.466014,4.912344,3.398223,8.484759,3.466669,7.503880,3.987675,7.160075,4.150751,5.658737,2020-04-06 02:15:00
buildings,1,2020-04-06 02:20:00,4.911628,4.844176,3.680779,6.262069,3.660055,5.925283,3.823937,5.602381,4.482694,5.326205,2020-04-06 02:20:00
buildings,1,2020-04-06 02:25:00,5.608086,5.344964,3.969753,7.127213,4.394446,7.033018,4.634127,6.738076,5.010028,6.088541,2020-04-06 02:25:00
buildings,1,2020-04-06 02:30:00,6.062764,5.873696,4.392155,7.850188,4.730381,7.298551,4.955315,6.813037,5.232613,6.199579,2020-04-06 02:30:00
buildings,1,2020-04-06 03:00:00,8.70267,8.075889, 4.754536,13.165973, 5.102191,12.043442, 5.529159,11.073459,6.321448,8.935330,2020-04-06 03:00:00
buildings,1,2020-04-06 03:05:00,7.134541,6.630338, 4.871641,10.400552,4.871641,8.931855,5.336227,8.506934,5.861347,7.341757,2020-04-06 03:05:00
buildings,1,2020-04-06 16:25:00,0.8435975,0.6853166,0.1416485,1.6621915,0.2102539,1.4533924,0.1975978,1.1398364,0.3048447,0.7952600,2020-04-06 16:25:00
buildings,1,2020-04-06 03:50:00,5.691125,6.091228,2.182586,8.859455,2.797969,8.625522,3.221006,7.625333,3.933444,6.385253,2020-04-06 03:50:00
buildings,1,2020-04-06 04:15:00,6.161191,6.244895,3.397619,8.752978,3.397619,7.930288,4.123617,7.459506,5.644333,7.326476,2020-04-06 04:15:00
buildings,1,2020-04-06 04:40:00,5.004258,4.945674,2.647954,7.116222,3.267529,7.116222,3.536677,6.382501,4.262591,5.669086,2020-04-06 04:40:00
buildings,1,2020-04-06 05:20:00,4.401164,3.92973,1.743706,7.191672,2.373626,6.788032,2.702765,6.005685,2.702765,4.306986,2020-04-06 05:20:00
buildings,1,2020-04-06 16:30:00,0.5881432,0.2851058,0.05643709,1.31598873,0.04744284,1.18130468,0.05643709,0.93155083,0.1331269,0.5116774,2020-04-06 16:30:00
buildings,1,2020-04-06 06:25:00,6.651368,5.81502, 3.957041,10.493069,4.041622,9.010803,4.821765,8.374354,5.158079,6.687758,2020-04-06 06:25:00
buildings,1,2020-04-07 07:50:00,7.156423,6.191943, 4.486199,10.465229,4.723325,9.851831,5.034760,8.939432,5.30569,7.32474,2020-04-07 07:50:00
buildings,1,2020-04-06 06:30:00,5.538253,5.263653,3.488902,8.295579,3.784881,7.944603,3.821623,7.142260,4.601963,6.069787,2020-04-06 06:30:00
buildings,1,2020-04-06 06:40:00,5.513922,5.51112,4.259923,6.833835,4.401346,6.599244,4.671076,6.412665,5.029259,5.816561,2020-04-06 06:40:00
buildings,1,2020-04-06 16:35:00,4.016486,2.253859,1.124894,8.461959,1.267042,7.478500,1.267042,5.723584,1.657910,3.769679,2020-04-06 16:35:00
buildings,1,2020-04-06 06:50:00,5.214579,5.276729,3.423272,6.898049,3.794261,6.692020,4.269169,6.647319,4.650305,5.797559,2020-04-06 06:50:00
buildings,1,2020-04-08 05:40:00,8.319512,7.744086, 4.575633,12.855384, 4.575633,11.449691, 5.104813,10.511999,6.514354,9.278940,2020-04-08 05:40:00
buildings,1,2020-04-06 07:00:00,5.260951,5.087409,3.021775,7.272011,3.362737,6.859540,4.153627,6.848877,4.246650,5.588803,2020-04-06 07:00:00
buildings,1,2020-04-06 16:40:00,1.163016,0.9019535,0.4948207,2.0712682,0.4948207,1.7438757,0.518542,1.484798,0.7060356,1.2150384,2020-04-06 16:40:00
buildings,1,2020-04-06 07:15:00,4.217259,3.896181,2.263920,6.288887,2.673464,5.985765,2.990820,5.593008,3.219007,4.403896,2020-04-06 07:15:00
buildings,1,2020-04-07 08:25:00,4.506318,4.248436,1.908124,7.271514,2.504694,6.830889,2.703120,5.826831,3.782207,5.318963,2020-04-07 08:25:00
buildings,1,2020-04-06 07:40:00,7.154729,6.543715, 4.109883,10.587022,4.109883,9.590257,4.949408,8.898662,5.305455,6.985394,2020-04-06 07:40:00
buildings,1,2020-04-06 16:50:00,0.8787188,0.7473151,0.05909296,2.00401984,0.05909296,1.57610346,0.1237753,1.2891158,0.4318921,1.0222283,2020-04-06 16:50:00
buildings,1,2020-04-06 08:05:00,4.432138,4.317648,2.128259,7.137496,2.128259,6.239060,2.628113,5.963479,3.147479,4.920667,2020-04-06 08:05:00
buildings,1,2020-04-06 08:20:00,6.550286,6.343602,3.864956,9.003739,4.553000,9.003739,4.647768,8.262110,5.430376,7.307131,2020-04-06 08:20:00
buildings,1,2020-04-08 12:30:00,2.282612,2.179515,1.343039,3.362944,1.343039,3.081795,1.645667,3.045952,1.842263,2.502033,2020-04-08 12:30:00
buildings,1,2020-04-06 08:30:00,6.007161,5.816113,4.710661,7.384596,4.913957,7.265136,5.023482,6.804808,5.417422,6.308457,2020-04-06 08:30:00
buildings,1,2020-04-06 16:55:00,1.153346,1.207384,0.2474223,2.2025613,0.224278,1.976676,0.2897652,1.6772218,0.6786007,1.4705281,2020-04-06 16:55:00
buildings,1,2020-04-07 08:45:00,6.254358,5.826059, 3.552292,10.178896,3.526009,8.697015,4.258052,8.435686,4.770369,6.864257,2020-04-07 08:45:00
buildings,1,2020-04-08 22:30:00,6.80205,6.198839,4.562889,9.454308,4.454186,8.660997,5.129383,8.281333,5.907161,7.506152,2020-04-08 22:30:00
buildings,1,2020-04-06 09:15:00,6.44418,6.447426,4.541171,7.970823,5.284185,7.970823,5.305293,7.314797,5.744071,6.698572,2020-04-06 09:15:00
buildings,1,2020-04-08 06:25:00,7.550029,7.59315, 4.596527,10.748205, 5.27515,10.25317,5.275150,9.074061,6.269596,8.407973,2020-04-08 06:25:00
buildings,1,2020-04-06 17:10:00,4.067447,3.211814,2.261498,7.005204,2.261498,5.988360,2.361199,5.116156,2.575473,3.990376,2020-04-06 17:10:00
buildings,1,2020-04-06 09:35:00,6.41976,6.107714,4.566555,8.050416,5.285747,7.943645,5.285747,7.193847,5.949232,6.775604,2020-04-06 09:35:00
buildings,1,2020-04-09 15:25:00,2.200496,2.207413,1.508204,2.831057,1.549848,2.649412,1.767334,2.592797,1.881006,2.338072,2020-04-09 15:25:00
buildings,1,2020-04-06 09:45:00,8.06015,7.654545, 4.532536,11.302649, 5.276161,10.826213, 5.878711,10.122185,6.651431,8.840073,2020-04-06 09:45:00
buildings,1,2020-04-06 17:25:00,4.196892,3.947623,1.675213,6.217297,1.833265,5.797234,2.682179,5.797234,3.512891,5.093762,2020-04-06 17:25:00
buildings,1,2020-04-07 08:50:00,7.022376,6.398605, 4.510101,11.070360,4.510101,9.581910,5.232993,9.112195,5.395011,7.359835,2020-04-07 08:50:00
buildings,1,2020-04-06 10:00:00,6.591029,6.25723,4.889238,8.957123,5.121684,8.435721,5.272744,7.638406,5.950977,7.191393,2020-04-06 10:00:00
buildings,1,2020-04-10 02:40:00,6.666391,6.30835,3.642761,9.621829,4.118131,9.460851,4.118131,8.331878,5.040799,7.388919,2020-04-10 02:40:00
buildings,1,2020-04-06 10:25:00,7.733452,7.793208, 4.548321,10.767373, 4.921175,10.039648,5.816461,9.646502,6.729477,8.687310,2020-04-06 10:25:00
buildings,1,2020-04-06 17:30:00,1.516537,1.043215,0.413998,2.728667,0.442299,2.494787,0.7507577,2.4947872,0.7119997,1.6200168,2020-04-06 17:30:00
buildings,1,2020-04-06 10:45:00,4.633009,4.0904,2.321155,7.670391,2.240070,6.864868,2.778532,6.213728,3.317999,5.205076,2020-04-06 10:45:00
buildings,1,2020-04-08 06:45:00,5.789772,5.457547,3.584729,7.965608,3.916355,7.588257,4.039085,7.061181,4.712406,6.351820,2020-04-08 06:45:00
buildings,1,2020-04-06 17:40:00,7.815719,7.806081, 3.458632,13.716641, 3.229102,11.655161,3.458632,9.961563,5.183382,8.649951,2020-04-06 17:40:00
buildings,1,2020-04-07 09:20:00,7.675356,7.380805, 4.964769,11.044250, 5.256197,10.541862,5.668772,9.744034,5.916004,8.021684,2020-04-07 09:20:00
buildings,1,2020-04-06 11:15:00,6.253466,6.210379,4.063310,8.490839,4.331668,7.808987,4.815392,7.480095,5.677626,6.996706,2020-04-06 11:15:00
buildings,1,2020-04-06 11:30:00,6.028901,6.022296,3.988203,8.645466,3.807139,7.500988,4.798262,7.336146,5.452627,6.791658,2020-04-06 11:30:00
buildings,1,2020-04-08 12:35:00,2.399345,2.292781,1.382287,3.422202,1.439064,3.107557,1.636555,2.952707,1.835340,2.495301,2020-04-08 12:35:00
buildings,1,2020-04-06 17:45:00,4.819705,3.740084,1.894744,8.358623,1.894744,7.454970,2.840315,7.289186,3.102664,5.443862,2020-04-06 17:45:00
