cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end
medical,1,2020-04-09 17:50:00,3.438021,3.200978,2.277317,4.876859,2.477543,4.426044,2.608145,4.131208,2.948197,3.702533,2020-04-09 17:50:00
medical,1,2020-04-10 12:30:00,6.497409,6.139635,4.281998,8.540931,4.814236,8.495121,4.853125,7.693975,5.714108,7.225019,2020-04-10 12:30:00
medical,1,2020-04-09 08:40:00,7.363267,6.859424,4.420440,9.894699,4.880898,9.329634,5.531673,8.940554,6.288330,8.082637,2020-04-09 08:40:00
medical,1,2020-04-06 02:00:00,6.308983,5.50521,3.643054,8.863655,4.340166,8.680993,4.340166,7.814065,4.340166,6.184634,2020-04-06 02:00:00
medical,1,2020-04-06 02:15:00,6.524161,6.372942,4.501622,8.354679,4.696232,7.979132,5.510693,7.979132,5.547309,6.793068,2020-04-06 02:15:00
medical,1,2020-04-06 02:20:00,6.609283,6.343381,5.314646,8.346204,5.314646,7.923857,5.373035,7.556098,5.802572,6.884842,2020-04-06 02:20:00
medical,1,2020-04-06 02:25:00,7.217863,6.952646,5.471675,9.343156,5.632159,8.825521,5.738833,8.228771,6.298553,7.599512,2020-04-06 02:25:00
medical,1,2020-04-06 02:30:00,6.899939,6.991826,4.918343,8.854575,4.918343,8.310377,5.440631,7.889892,6.013805,7.255792,2020-04-06 02:30:00
medical,1,2020-04-06 03:00:00,7.075046,6.26708,5.434814,8.902526,5.755346,8.724473,5.742505,8.036858,6.12649,7.46784,2020-04-06 03:00:00
medical,1,2020-04-06 03:05:00,7.364563,7.312913,5.403358,9.215288,5.944722,8.935452,6.231889,8.421283,6.810506,7.867879,2020-04-06 03:05:00
medical,1,2020-04-06 16:25:00,2.308937,1.895469,1.332590,3.967874,1.332590,3.294046,1.454454,2.984405,1.671904,2.421669,2020-04-06 16:25:00
medical,1,2020-04-09 17:55:00,3.371617,2.996185,2.226638,4.506334,2.564516,4.449326,2.585672,3.989336,2.644431,3.478340,2020-04-09 17:55:00
medical,1,2020-04-06 03:50:00,6.613163,6.344601,4.880075,8.424418,5.077058,8.051705,5.512652,7.832999,5.659242,6.817715,2020-04-06 03:50:00
medical,1,2020-04-06 04:15:00,5.819584,6.147189,2.732447,7.939376,3.885595,8.112793,4.420522,7.317555,5.409687,6.775258,2020-04-06 04:15:00
medical,1,2020-04-06 04:40:00,6.16627,5.801819,3.535706,8.814414,3.910941,8.432081,4.172351,7.516367,4.705941,6.524341,2020-04-06 04:40:00
medical,1,2020-04-06 05:20:00,6.502315,5.753627,4.388714,9.694372,4.465870,8.480907,4.465870,7.442964,5.497459,7.215394,2020-04-06 05:20:00
medical,1,2020-04-06 16:30:00,2.090179,1.96723,1.141235,3.486299,1.141235,2.976832,1.325255,2.714036,1.532334,2.146951,2020-04-06 16:30:00
medical,1,2020-04-07 07:50:00,6.925487,5.572672, 3.793715,10.678225,3.869296,9.527177,4.492680,8.795994,5.185183,7.385038,2020-04-07 07:50:00
medical,1,2020-04-06 06:25:00,5.56543,5.129471,3.121079,8.441487,3.256182,7.936356,4.004949,7.660270,4.469644,6.210155,2020-04-06 06:25:00
medical,1,2020-04-06 06:30:00,6.736288,6.692894,5.226629,8.402015,5.512853,8.196114,5.546383,7.553939,6.249787,7.376600,2020-04-06 06:30:00
medical,1,2020-04-06 16:35:00,4.284655,4.003535,1.582871,7.305297,2.162111,6.487272,2.338327,5.447817,2.702517,4.394837,2020-04-06 16:35:00
medical,1,2020-04-06 06:40:00,5.307343,5.659219,3.259301,7.784191,3.292359,6.921231,3.746954,6.520681,4.444839,5.960513,2020-04-06 06:40:00
medical,1,2020-04-06 06:50:00,3.781442,3.611997,1.944978,6.136792,1.859535,5.268539,2.498956,5.243492,3.045436,4.376709,2020-04-06 06:50:00
medical,1,2020-04-08 05:40:00,7.206621,6.434159, 3.952701,10.966435, 4.603379,10.875629,4.603379,9.419675,5.676895,8.030384,2020-04-08 05:40:00
medical,1,2020-04-06 07:00:00,5.673845,5.729037,3.800990,7.888176,4.030411,7.252622,4.154053,6.673478,4.819066,6.110375,2020-04-06 07:00:00
medical,1,2020-04-06 16:40:00,1.771132,1.422192,0.8600123,3.0858140,0.8484307,2.6464568,0.9582041,2.2304666,1.177836,1.879786,2020-04-06 16:40:00
medical,1,2020-04-07 08:25:00,7.980878,7.688295, 5.005593,11.092669, 5.005593,10.292141,5.660622,9.886240,6.607798,8.834356,2020-04-07 08:25:00
medical,1,2020-04-09 09:20:00,6.940972,6.886449,4.189621,9.910399,4.302058,9.110784,4.873319,8.617035,6.002804,7.697974,2020-04-09 09:20:00
medical,1,2020-04-06 07:15:00,5.060684,4.745727,3.560889,6.920779,3.847836,6.628952,3.741330,5.838228,4.652817,5.805513,2020-04-06 07:15:00
medical,1,2020-04-06 07:40:00,4.954699,4.512722,3.411773,6.913181,3.411773,6.407486,3.894451,6.308006,4.168609,5.437307,2020-04-06 07:40:00
medical,1,2020-04-10 12:45:00,6.794718,6.574568,4.542707,9.388726,4.560410,8.473761,5.198711,8.118867,6.039055,7.319968,2020-04-10 12:45:00
medical,1,2020-04-06 16:50:00,1.208866,0.9199712,0.1448588,2.3340724,0.2356655,2.0931137,0.2767709,1.8041328,0.580334,1.429864,2020-04-06 16:50:00
medical,1,2020-04-06 08:05:00,5.710767,5.31403,4.531162,7.207569,4.559039,6.930273,4.742651,6.532194,5.094576,5.939624,2020-04-06 08:05:00
medical,1,2020-04-08 12:30:00,3.007896,3.049918,2.179218,3.673090,2.515864,3.733002,2.556357,3.461838,2.744832,3.218769,2020-04-08 12:30:00
medical,1,2020-04-06 08:20:00,6.862599,6.290663,4.431410,9.325032,4.875748,8.973808,5.281928,8.450011,5.796595,7.539608,2020-04-06 08:20:00
medical,1,2020-04-06 16:55:00,1.478878,1.430237,0.5792307,2.5052173,0.8065383,2.4421665,0.8192614,2.0427267,1.159048,1.759480,2020-04-06 16:55:00
medical,1,2020-04-07 08:45:00,9.494252,8.995698, 4.711286,13.865442, 6.19589,13.56931, 6.439882,12.384914,7.150412,9.898386,2020-04-07 08:45:00
medical,1,2020-04-08 22:30:00,4.713474,4.682888,3.071023,6.284653,3.471458,6.100938,3.722763,5.736186,4.038528,5.077087,2020-04-08 22:30:00
medical,1,2020-04-06 08:30:00,6.166957,5.910836,4.811470,7.649191,4.959372,7.367938,5.166034,7.023184,5.471517,6.431296,2020-04-06 08:30:00
medical,1,2020-04-06 09:15:00,6.444135,6.24662,5.433046,7.786654,5.592813,7.653125,5.627380,7.203888,5.782942,6.608475,2020-04-06 09:15:00
medical,1,2020-04-06 17:10:00,2.110453,1.917235,0.9623818,3.4377837,0.9623818,3.0667405,1.133020,2.837814,1.678747,2.514382,2020-04-06 17:10:00
medical,1,2020-04-08 06:25:00,3.561389,2.947247,1.865012,5.312555,1.865012,4.807864,2.459943,4.750746,2.449407,3.712180,2020-04-08 06:25:00
medical,1,2020-04-06 09:35:00,6.311529,6.324297,5.196804,7.469507,5.445657,7.392135,5.445657,6.970200,6.117524,6.923269,2020-04-06 09:35:00
medical,1,2020-04-09 18:00:00,3.289786,2.959526,2.177599,4.338596,2.409537,4.230619,2.582211,4.032953,2.700414,3.474429,2020-04-09 18:00:00
medical,1,2020-04-06 09:45:00,5.68408,5.833586,3.877373,7.088773,4.228381,6.957625,4.599389,6.617268,5.044415,6.106909,2020-04-06 09:45:00
medical,1,2020-04-09 15:25:00,3.50667,3.504333,2.800885,4.233457,2.846205,4.082479,2.899791,3.870587,3.246749,3.769806,2020-04-09 15:25:00
medical,1,2020-04-06 17:25:00,1.933427,1.575949,0.6438339,3.3322594,0.8588706,3.2314552,0.7175842,2.6299745,1.282175,2.251772,2020-04-06 17:25:00
medical,1,2020-04-07 08:50:00,5.218063,4.434906,2.667302,8.801021,2.707852,7.744716,3.058577,6.818508,3.352606,5.075702,2020-04-07 08:50:00
medical,1,2020-04-06 10:00:00,5.21399,5.219445,3.765999,7.075477,3.831844,6.425658,4.148099,6.067259,4.808344,5.783909,2020-04-06 10:00:00
