cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end
power,11,2020-04-06 02:05:00,5.562165,4.881295,2.386998,9.066560,2.681611,7.832801,3.002511,7.343214,4.003186,6.414533,2020-04-06 02:05:00
power,11,2020-04-06 02:25:00,6.477248,4.881299, 3.024036,11.550156,3.024036,9.860671,3.578281,8.778001,4.034854,6.533834,2020-04-06 02:25:00
power,11,2020-04-06 02:45:00,5.795852,5.791998,3.731992,7.368145,4.290829,7.245396,4.756792,7.049158,5.036629,6.132356,2020-04-06 02:45:00
power,11,2020-04-06 02:50:00,4.207591,4.885314,1.108446,6.349781,1.740012,6.349781,2.778302,6.349781,3.836407,5.596402,2020-04-06 02:50:00
power,11,2020-04-06 02:55:00,3.500902,3.100001,1.533120,6.012525,1.648851,5.629059,1.675832,4.845467,2.124520,3.824091,2020-04-06 02:55:00
power,11,2020-04-06 03:00:00,2.319985,2.219974,0.5126544,4.4281821,0.6769311,4.0056382,0.7636662,3.4098945,1.295607,2.666274,2020-04-06 03:00:00
power,11,2020-04-06 04:00:00,6.198981,5.186595, 2.889096,11.477868,2.963003,9.732715,2.980508,7.770401,3.631625,6.106029,2020-04-06 04:00:00
power,11,2020-04-06 05:25:00,0.9242352,0.04809328,0.006866705,2.888605667,0.006866705,2.327812654,0.006866705,1.809928062,0.006866705,0.600558061,2020-04-06 05:25:00
power,11,2020-04-06 18:05:00,1.814745,1.31035,0.4996444,3.5717425,0.5441499,3.0302189,0.6420201,2.3821252,1.101198,2.062696,2020-04-06 18:05:00
power,11,2020-04-06 06:10:00,5.436408,4.828956,2.918402,8.983418,2.997102,8.111076,3.150163,6.752219,4.131501,5.821082,2020-04-06 06:10:00
power,11,2020-04-06 07:25:00,9.145625,8.363393, 4.077035,14.158629, 5.231918,13.729559, 5.231918,11.786153,6.780911,9.660806,2020-04-06 07:25:00
power,11,2020-04-06 18:10:00,1.304369,0.916669,0.2997385,2.5288676,0.3504703,2.1937757,0.4754937,1.8277534,0.6220581,1.3248307,2020-04-06 18:10:00
power,11,2020-04-06 08:15:00,8.920693,8.22004, 4.610828,14.096497, 5.549842,13.350397, 5.549842,11.154751, 7.336075,10.207584,2020-04-06 08:15:00
power,11,2020-04-06 09:10:00,6.923829,6.595035,3.350248,9.931358,4.239584,9.754935,4.509458,8.757944,5.740016,7.886078,2020-04-06 09:10:00
power,11,2020-04-07 12:25:00,9.399878,8.780551, 5.676143,14.167147, 5.505011,12.619103, 6.873317,12.408903,7.268356,9.940824,2020-04-07 12:25:00
power,11,2020-04-06 18:25:00,1.240111,0.6582269,0.1689329,3.0419623,0.2173621,2.6852101,0.3132764,1.8425341,0.3108313,1.0774969,2020-04-06 18:25:00
power,11,2020-04-06 11:00:00,8.615273,7.653855, 3.982812,13.026181, 4.983369,12.335706, 5.639087,10.889501,5.989862,8.790262,2020-04-06 11:00:00
power,11,2020-04-06 13:30:00,8.045993,7.074913, 3.718224,13.228462, 3.718224,12.172068, 4.051102,10.718596,5.289544,8.683814,2020-04-06 13:30:00
power,11,2020-04-06 18:35:00,0.5649671,0.4066043,0.07665398,1.42492647,0.0496771,1.0951448,0.07665398,0.82819115,0.2596819,0.6576709,2020-04-06 18:35:00
power,11,2020-04-06 13:55:00,6.12207,5.850833,3.692498,8.832627,3.881348,8.261928,4.412910,7.798307,4.713272,6.343344,2020-04-06 13:55:00
power,11,2020-04-08 09:05:00,9.043062,8.9203,8.402689,9.654539,8.568588,9.619056,8.617769,9.396789,8.728347,9.131698,2020-04-08 09:05:00
power,11,2020-04-07 12:35:00,7.419127,6.778896, 2.574641,11.114290, 3.888133,11.109821, 4.546047,10.271691,4.658538,7.663272,2020-04-07 12:35:00
power,11,2020-04-06 18:45:00,1.358158,0.5910155,0.107538,3.354354,0.107538,2.889583,0.107538,1.925070,0.3748443,1.3763134,2020-04-06 18:45:00
power,11,2020-04-06 14:50:00,3.398569,3.155981,1.454256,6.273644,1.636566,5.580919,1.454256,4.571971,2.414434,3.958150,2020-04-06 14:50:00
power,11,2020-04-06 19:05:00,0.3618013,0.06663727,0.007663572,1.132816436,0.007663572,0.937059484,0.007663572,0.524215471,0.007663572,0.240741863,2020-04-06 19:05:00
power,11,2020-04-08 14:55:00,8.849013,8.827634, 6.624377,11.555520, 6.604312,10.659967, 7.170309,10.224007,7.852644,9.441106,2020-04-08 14:55:00
power,11,2020-04-06 15:05:00,4.327737,3.649327,1.898741,6.846908,2.528387,6.644862,2.528387,5.746046,2.578614,4.353267,2020-04-06 15:05:00
