cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end
roads_and_bridges,1,2020-04-08 11:15:00,4.290372,4.141752,3.514569,5.257239,3.754578,5.221676,3.754578,4.810945,3.845805,4.359492,2020-04-08 11:15:00
roads_and_bridges,1,2020-04-08 11:20:00,4.218817,4.189209,3.353367,5.002791,3.621375,5.002791,3.713247,4.780970,3.836504,4.383734,2020-04-08 11:20:00
roads_and_bridges,1,2020-04-09 08:05:00,5.888714,5.665511,3.753181,8.178796,3.994288,7.725889,4.413369,7.093110,4.913679,6.300079,2020-04-09 08:05:00
roads_and_bridges,1,2020-04-10 11:35:00,3.982956,4.19658,2.672712,5.817506,2.843125,5.481188,2.920809,4.871847,3.267725,4.383061,2020-04-10 11:35:00
roads_and_bridges,1,2020-04-08 11:25:00,4.091025,4.091584,3.311688,5.031462,3.311688,4.725423,3.558845,4.606831,3.859261,4.351299,2020-04-08 11:25:00
roads_and_bridges,1,2020-04-09 08:25:00,5.390876,5.007351,3.773582,7.117727,4.109220,6.834206,4.388811,6.577248,4.511228,5.638125,2020-04-09 08:25:00
roads_and_bridges,1,2020-04-08 11:30:00,3.980147,3.868902,3.324676,4.770332,3.324676,4.595583,3.324676,4.295304,3.617391,4.093709,2020-04-08 11:30:00
roads_and_bridges,1,2020-04-10 12:25:00,5.056313,4.729639,3.099879,7.309264,3.200519,6.560627,3.564928,6.195817,4.235485,5.694757,2020-04-10 12:25:00
roads_and_bridges,1,2020-04-06 02:00:00,1.325935,0.5892827,0.07343807,3.42284947,0.07343807,2.72217613,0.07343807,2.12905852,0.1805848,1.0892003,2020-04-06 02:00:00
roads_and_bridges,1,2020-04-06 02:15:00,3.591511,3.286436,1.753871,5.798986,1.769443,5.162589,2.249861,4.872798,2.485386,3.821839,2020-04-06 02:15:00
roads_and_bridges,1,2020-04-06 02:20:00,6.330718,4.976758, 2.84976,10.23204,3.518019,9.378757,3.573898,8.052238,3.881475,6.450825,2020-04-06 02:20:00
