cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end
shake_intensity,1,2020-04-06 11:15:00,0.9972423,0.8496585,0.4566857,1.7275296,0.4566857,1.4158479,0.5650046,1.3741948,0.6748374,1.0968470,2020-04-06 11:15:00
shake_intensity,1,2020-04-06 11:30:00,0.9979716,0.9021235,0.5506476,1.5516205,0.5775601,1.4359882,0.5896794,1.2994593,0.7272197,1.0796228,2020-04-06 11:30:00
shake_intensity,1,2020-04-06 17:30:00,0.5647755,0.5092493,0.3287862,0.8778160,0.3314152,0.8107110,0.3670409,0.7398430,0.3751782,0.5651586,2020-04-06 17:30:00
shake_intensity,1,2020-04-06 14:15:00,1.139608,0.9990611,0.4547674,1.9556201,0.498867,1.724131,0.6729748,1.5284068,0.8254384,1.2340113,2020-04-06 14:15:00
shake_intensity,1,2020-04-06 17:50:00,0.5423952,0.5022792,0.3441506,0.7894889,0.3795337,0.7590550,0.3717075,0.6433119,0.4243728,0.5476496,2020-04-06 17:50:00
shake_intensity,1,2020-04-06 14:35:00,0.9087813,0.8047196,0.2424822,1.4228308,0.4516939,1.4228308,0.4988533,1.2355089,0.7128122,1.0697330,2020-04-06 14:35:00
shake_intensity,1,2020-04-06 17:55:00,0.5586221,0.5426516,0.3546627,0.7352086,0.3546627,0.6903052,0.4309349,0.6903052,0.4847056,0.6195784,2020-04-06 17:55:00
shake_intensity,1,2020-04-07 23:35:00,0.549173,0.4888781,0.3370709,0.8568096,0.3370709,0.7547524,0.3708087,0.6888834,0.4019082,0.5509903,2020-04-07 23:35:00
shake_intensity,1,2020-04-06 14:45:00,0.9495374,0.9284149,0.4579159,1.5557902,0.4702509,1.4219726,0.5390723,1.3108607,0.5371329,0.9529514,2020-04-06 14:45:00
shake_intensity,1,2020-04-06 18:05:00,0.5413357,0.5009515,0.3454617,0.7994835,0.3525486,0.7250172,0.4033444,0.7075856,0.4398577,0.6017580,2020-04-06 18:05:00
shake_intensity,1,2020-04-08 09:55:00,0.975283,0.9461604,0.8453288,1.1293810,0.8585268,1.0823561,0.8779802,1.0471082,0.9163222,1.0005552,2020-04-08 09:55:00
shake_intensity,1,2020-04-06 14:50:00,0.8084351,0.6733609,0.3510983,1.3496768,0.3786721,1.2206160,0.4704392,1.1116248,0.5246572,0.8209548,2020-04-06 14:50:00
shake_intensity,1,2020-04-08 11:55:00,0.8640863,0.8840725,0.7298498,0.9834853,0.7603525,0.9834853,0.7848409,0.9604656,0.8110296,0.9030022,2020-04-08 11:55:00
shake_intensity,1,2020-04-08 14:15:00,0.7667466,0.769324,0.6395255,0.8959517,0.6572543,0.8848683,0.6808644,0.8544465,0.7177594,0.8090391,2020-04-08 14:15:00
shake_intensity,1,2020-04-06 19:05:00,0.5378168,0.5638565,0.3676225,0.7167505,0.3833545,0.7045190,0.3694523,0.6199517,0.4886197,0.6132345,2020-04-06 19:05:00
shake_intensity,1,2020-04-06 15:10:00,0.8112883,0.6797646,0.4147095,1.2392639,0.4510602,1.1776496,0.4982376,1.0333394,0.5824132,0.8709736,2020-04-06 15:10:00
shake_intensity,1,2020-04-07 23:55:00,0.5341927,0.5271743,0.3643675,0.7645746,0.3536094,0.6766962,0.3920908,0.6310564,0.4796579,0.5978392,2020-04-07 23:55:00
shake_intensity,1,2020-04-06 19:45:00,0.5844725,0.578976,0.4063804,0.7658693,0.4524223,0.7569037,0.4723065,0.7103350,0.4760026,0.6169420,2020-04-06 19:45:00
shake_intensity,1,2020-04-06 15:40:00,0.8193747,0.7228512,0.4617059,1.3256767,0.4864411,1.2169045,0.5146996,1.0667813,0.5586658,0.8191577,2020-04-06 15:40:00
shake_intensity,1,2020-04-09 15:00:00,0.7023243,0.6215921,0.3875144,1.0023208,0.4756673,0.9564502,0.5353132,0.9399619,0.5464986,0.7553222,2020-04-09 15:00:00
shake_intensity,1,2020-04-06 16:00:00,0.7260478,0.6788499,0.3628483,1.1151175,0.4386601,1.0291056,0.4663621,0.9113736,0.5205899,0.7441833,2020-04-06 16:00:00
