time,loc,cat,MAP,CIR
2020-04-06 14:40:00,4,shake_intensity,8.24,1.55
2020-04-06 14:45:00,4,shake_intensity,8.2,1.34
2020-04-06 14:50:00,4,shake_intensity,8.13,1.23
2020-04-06 14:55:00,NA,NA,10,10
2020-04-06 15:00:00,4,shake_intensity,8.19,1.6
2020-04-06 15:05:00,4,shake_intensity,8.11,1.4
2020-04-06 15:10:00,4,shake_intensity,8.3,1.58
2020-04-06 15:15:00,NA,NA,10,10
2020-04-06 15:20:00,NA,NA,10,10
2020-04-06 15:25:00,4,shake_intensity,8.08,1.3
2020-04-06 15:30:00,4,shake_intensity,8,1.4
2020-04-06 15:35:00,4,shake_intensity,8.11,1.31
2020-04-06 15:40:00,NA,NA,10,10
2020-04-06 15:45:00,4,shake_intensity,8.14,1.15
2020-04-06 15:50:00,4,shake_intensity,8.1,1.03
2020-04-06 15:55:00,4,shake_intensity,8.19,1.05
2020-04-06 16:00:00,4,shake_intensity,8.29,0.9
2020-04-06 16:05:00,4,shake_intensity,8.2,0.93
2020-04-06 16:10:00,NA,NA,10,10
2020-04-06 16:15:00,4,shake_intensity,8.28,0.9
2020-04-06 16:20:00,NA,NA,10,10
2020-04-06 16:25:00,4,shake_intensity,8.21,0.93
2020-04-06 16:30:00,4,shake_intensity,8.02,0.98
2020-04-06 16:35:00,4,shake_intensity,8.15,0.99
2020-04-06 16:40:00,NA,NA,10,10
2020-04-06 16:45:00,NA,NA,10,10
2020-04-06 16:50:00,NA,NA,10,10
2020-04-06 16:55:00,4,shake_intensity,7.99,0.99
2020-04-06 17:00:00,NA,NA,10,10
2020-04-06 17:05:00,4,shake_intensity,8.1,0.96
2020-04-06 17:10:00,4,shake_intensity,8.07,0.79
2020-04-06 17:15:00,NA,NA,10,10
2020-04-06 17:20:00,NA,NA,10,10
2020-04-06 17:25:00,4,shake_intensity,8.21,0.91
2020-04-06 17:30:00,NA,NA,10,10
2020-04-06 17:35:00,4,shake_intensity,8.13,0.77
2020-04-06 17:40:00,NA,NA,10,10
2020-04-06 17:45:00,NA,NA,10,10
2020-04-06 17:50:00,NA,NA,10,10
2020-04-06 17:55:00,NA,NA,10,10
2020-04-06 18:00:00,NA,NA,10,10
2020-04-06 18:05:00,4,shake_intensity,8.06,0.82
2020-04-06 18:10:00,NA,NA,10,10
2020-04-06 18:15:00,NA,NA,10,10
2020-04-06 18:20:00,NA,NA,10,10
2020-04-06 18:25:00,NA,NA,10,10
2020-04-06 18:30:00,NA,NA,10,10
2020-04-06 18:35:00,4,shake_intensity,8.26,0.71
2020-04-06 18:40:00,NA,NA,10,10
2020-04-06 18:45:00,NA,NA,10,10
2020-04-06 18:50:00,NA,NA,10,10
2020-04-06 18:55:00,NA,NA,10,10
2020-04-06 19:00:00,NA,NA,10,10
2020-04-06 19:05:00,NA,NA,10,10
2020-04-06 19:10:00,NA,NA,10,10
2020-04-06 19:15:00,NA,NA,10,10
2020-04-06 19:20:00,NA,NA,10,10
2020-04-06 19:25:00,NA,NA,10,10
2020-04-06 19:30:00,NA,NA,10,10
2020-04-06 19:35:00,NA,NA,10,10
2020-04-06 19:40:00,NA,NA,10,10
2020-04-06 19:45:00,NA,NA,10,10
2020-04-06 19:50:00,NA,NA,10,10
2020-04-06 19:55:00,NA,NA,10,10
2020-04-06 20:00:00,NA,NA,10,10
2020-04-06 20:05:00,NA,NA,10,10
2020-04-06 20:10:00,NA,NA,10,10
2020-04-06 20:15:00,NA,NA,10,10
2020-04-06 20:20:00,NA,NA,10,10
2020-04-06 20:25:00,NA,NA,10,10
2020-04-06 20:30:00,NA,NA,10,10
2020-04-06 20:35:00,NA,NA,10,10
2020-04-06 20:40:00,NA,NA,10,10
2020-04-06 20:45:00,NA,NA,10,10
2020-04-06 20:50:00,NA,NA,10,10
2020-04-06 20:55:00,NA,NA,10,10
2020-04-06 21:00:00,NA,NA,10,10
2020-04-06 21:05:00,NA,NA,10,10
2020-04-06 21:10:00,NA,NA,10,10
2020-04-06 21:15:00,NA,NA,10,10
2020-04-06 21:20:00,NA,NA,10,10
2020-04-06 21:25:00,NA,NA,10,10
2020-04-06 21:30:00,NA,NA,10,10
2020-04-06 21:35:00,NA,NA,10,10
2020-04-06 21:40:00,NA,NA,10,10
2020-04-06 21:45:00,NA,NA,10,10
2020-04-06 21:50:00,NA,NA,10,10
2020-04-06 21:55:00,NA,NA,10,10
2020-04-06 22:00:00,NA,NA,10,10
2020-04-06 22:05:00,NA,NA,10,10
2020-04-06 22:10:00,NA,NA,10,10
2020-04-06 22:15:00,NA,NA,10,10
