cat,loc,time,mean,mode,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
medical,1,2020-04-06 02:00:00,6.308983,6.120968,3.643054,8.863655,4.340166,8.680993,4.340166,7.814065,4.340166,6.184634, 3.643054, 4.077122, 4.342048, 4.444592, 4.495597, 4.637791, 4.783302, 4.853084, 4.910661, 5.024403, 5.096298, 5.161235, 5.265286, 5.444089, 5.489001, 5.615017, 5.686751, 5.788624, 5.939922, 6.013260, 6.054843, 6.120966, 6.199911, 6.303437, 6.523566, 6.604550, 6.811319, 6.997299, 7.147099, 7.217454, 7.314126, 7.387435, 7.594014, 7.674972, 7.816201, 8.123837, 8.238263, 8.438078, 8.690126, 9.850882,11.925598,2020-04-06 02:00:00
medical,1,2020-04-06 02:15:00,6.524161,6.865322,4.501622,8.354679,4.696232,7.979132,5.510693,7.979132,5.547309,6.793068,3.738677,4.566552,4.891150,4.992061,5.322469,5.486257,5.568390,5.626991,5.693347,5.764495,5.855538,5.902413,5.976041,6.027815,6.089665,6.146925,6.239117,6.315524,6.398548,6.455579,6.491718,6.509576,6.578161,6.679469,6.717553,6.773522,6.865293,6.973105,7.038935,7.058608,7.216536,7.298519,7.409293,7.545529,7.621717,7.741407,7.841963,7.942069,8.137852,8.580982,9.546550,2020-04-06 02:15:00
medical,1,2020-04-06 02:20:00,6.609283,5.92841,5.314646,8.346204,5.314646,7.923857,5.373035,7.556098,5.802572,6.884842, 4.666145, 5.243223, 5.381512, 5.448094, 5.530913, 5.654541, 5.730534, 5.842851, 5.890584, 5.928412, 6.000263, 6.043497, 6.133392, 6.166507, 6.215976, 6.251119, 6.341154, 6.360476, 6.408621, 6.430081, 6.507275, 6.549435, 6.576175, 6.633956, 6.712062, 6.768942, 6.865792, 6.931309, 6.992492, 7.143132, 7.222594, 7.315983, 7.450117, 7.529154, 7.558923, 7.744400, 7.799886, 7.888767, 7.993411, 8.279841,10.130518,2020-04-06 02:20:00
medical,1,2020-04-06 02:25:00,7.217863,6.700307,5.471675,9.343156,5.632159,8.825521,5.738833,8.228771,6.298553,7.599512, 4.637354, 5.532775, 5.735732, 5.897467, 5.982624, 6.069645, 6.199288, 6.305772, 6.348582, 6.413706, 6.458342, 6.576338, 6.631063, 6.700321, 6.758497, 6.801851, 6.884414, 6.925018, 6.995780, 7.066693, 7.105351, 7.172812, 7.229852, 7.288171, 7.338689, 7.465834, 7.555075, 7.612581, 7.655438, 7.754656, 7.808070, 7.908753, 8.020104, 8.141141, 8.214869, 8.413146, 8.490245, 8.798555, 9.057494, 9.488807,11.665674,2020-04-06 02:25:00
medical,1,2020-04-06 02:30:00,6.899939,7.771137,4.918343,8.854575,4.918343,8.310377,5.440631,7.889892,6.013805,7.255792, 4.711630, 5.066449, 5.313676, 5.553651, 5.651263, 5.771196, 5.837622, 5.941705, 6.011494, 6.085345, 6.146278, 6.233117, 6.311119, 6.400678, 6.508619, 6.540586, 6.657187, 6.716676, 6.786648, 6.818050, 6.860342, 6.963086, 7.029322, 7.062162, 7.090976, 7.129640, 7.173861, 7.223878, 7.252349, 7.330062, 7.465777, 7.581383, 7.670811, 7.770615, 7.822546, 8.003303, 8.233553, 8.598665, 8.803244, 9.088353,11.319676,2020-04-06 02:30:00
medical,1,2020-04-06 03:00:00,7.075046,7.599351,5.434814,8.902526,5.755346,8.724473,5.742505,8.036858,6.12649,7.46784, 5.080806, 5.439357, 5.739871, 5.885278, 5.996270, 6.078435, 6.132001, 6.155957, 6.192208, 6.251602, 6.294477, 6.324863, 6.382269, 6.429440, 6.475750, 6.573771, 6.728341, 6.781588, 6.829192, 6.914242, 7.000479, 7.092573, 7.145902, 7.299389, 7.343329, 7.425769, 7.475162, 7.540192, 7.599157, 7.624064, 7.707235, 7.807433, 7.851333, 7.898778, 8.026998, 8.212640, 8.429326, 8.562624, 8.706778, 8.903551,10.832269,2020-04-06 03:00:00
medical,1,2020-04-06 03:05:00,7.364563,7.454676,5.403358,9.215288,5.944722,8.935452,6.231889,8.421283,6.810506,7.867879, 4.652786, 5.623069, 5.945614, 6.116573, 6.252715, 6.335619, 6.488506, 6.529170, 6.595590, 6.642283, 6.779487, 6.827028, 6.866947, 6.950719, 6.983385, 7.036459, 7.097503, 7.168461, 7.218502, 7.275439, 7.328574, 7.359102, 7.418279, 7.467905, 7.509111, 7.608027, 7.659022, 7.700174, 7.771268, 7.828904, 7.863353, 7.903441, 7.981733, 8.159905, 8.279088, 8.384370, 8.447929, 8.625624, 8.937585, 9.512938,11.257908,2020-04-06 03:05:00
medical,1,2020-04-06 03:50:00,6.613163,6.052844,4.880075,8.424418,5.077058,8.051705,5.512652,7.832999,5.659242,6.817715, 4.437906, 5.074089, 5.204228, 5.390351, 5.506372, 5.582572, 5.667541, 5.737968, 5.848985, 5.906544, 5.937178, 6.021586, 6.083474, 6.160372, 6.187024, 6.228503, 6.316729, 6.344209, 6.411438, 6.468149, 6.500677, 6.522083, 6.567378, 6.631478, 6.704202, 6.754307, 6.914605, 6.952640, 7.046678, 7.111162, 7.216573, 7.323860, 7.382611, 7.505571, 7.538273, 7.739661, 7.816573, 8.031934, 8.195745, 8.770004,10.854187,2020-04-06 03:50:00
medical,1,2020-04-06 16:25:00,2.308937,2.248175,1.332590,3.967874,1.332590,3.294046,1.454454,2.984405,1.671904,2.421669,1.040966,1.334563,1.440931,1.503253,1.576643,1.645736,1.678910,1.711167,1.766438,1.781496,1.804741,1.821194,1.844479,1.891273,1.931071,1.983032,2.015112,2.054645,2.102310,2.135811,2.182070,2.229605,2.248865,2.277336,2.342312,2.407060,2.438976,2.473248,2.541563,2.610795,2.667239,2.727577,2.817357,2.892255,2.974847,3.041671,3.137311,3.296957,3.748726,3.970947,5.870560,2020-04-06 16:25:00
medical,1,2020-04-06 04:15:00,5.819584,5.681593,2.732447,7.939376,3.885595,8.112793,4.420522,7.317555,5.409687,6.775258,1.916826,2.746685,3.293806,3.857365,4.255403,4.492885,4.687747,4.814385,4.967326,5.063254,5.149803,5.233578,5.385525,5.448509,5.506976,5.646334,5.681634,5.728677,5.850199,5.925014,6.005260,6.055320,6.142192,6.168268,6.198118,6.256512,6.282388,6.351528,6.384888,6.507404,6.551469,6.655269,6.760920,6.907053,7.070264,7.134759,7.242674,7.409483,7.740545,7.943712,8.753573,2020-04-06 04:15:00
