cat,loc,time,mean,mode,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
shake_intensity,1,2020-04-06 11:15:00,0.9972423,0.721441,0.4566857,1.7275296,0.4566857,1.4158479,0.5650046,1.3741948,0.6748374,1.0968470,0.4566857,0.4912765,0.5191751,0.5526161,0.5780173,0.6029487,0.6369605,0.6656602,0.6896533,0.7050256,0.7311766,0.7667149,0.7794047,0.8033542,0.8092144,0.8385366,0.8460707,0.8622278,0.9036788,0.9200507,0.9366310,0.9470798,0.9853312,1.0031295,1.0266978,1.0464355,1.0599031,1.0926241,1.1178526,1.1542629,1.2111638,1.2588604,1.2781378,1.3188044,1.3460443,1.3689984,1.3966940,1.4803066,1.7243870,1.8067323,2.4468400,2020-04-06 11:15:00
shake_intensity,1,2020-04-06 11:30:00,0.9979716,1.149434,0.5506476,1.5516205,0.5775601,1.4359882,0.5896794,1.2994593,0.7272197,1.0796228,0.3985500,0.5642237,0.5930221,0.6244574,0.6526283,0.6658262,0.6893802,0.7300195,0.7576404,0.7711343,0.7858209,0.7983530,0.8176538,0.8328715,0.8623619,0.8705361,0.8969598,0.9231463,0.9268997,0.9407686,0.9560101,0.9832872,1.0052964,1.0329682,1.0500518,1.0612367,1.0750836,1.0879911,1.1264754,1.1501503,1.1853118,1.2169040,1.2577120,1.2784753,1.3210041,1.3438493,1.4057111,1.4285421,1.4707385,1.5764768,2.1100305,2020-04-06 11:30:00
shake_intensity,1,2020-04-06 17:30:00,0.5647755,0.5473216,0.3287862,0.8778160,0.3314152,0.8107110,0.3670409,0.7398430,0.3751782,0.5651586,0.2820218,0.3328131,0.3506244,0.3707011,0.3814990,0.3936311,0.4036254,0.4236937,0.4367399,0.4434581,0.4586650,0.4646694,0.4812044,0.4876691,0.4944161,0.4990483,0.5052797,0.5122998,0.5246695,0.5317223,0.5342686,0.5440803,0.5498945,0.5605768,0.5749440,0.5869597,0.6059146,0.6199230,0.6340426,0.6455505,0.6572666,0.6786130,0.6934428,0.7096966,0.7226893,0.7432361,0.7934583,0.8108516,0.8612176,0.8858931,1.0466724,2020-04-06 17:30:00
shake_intensity,1,2020-04-06 14:15:00,1.139608,0.7249764,0.4547674,1.9556201,0.498867,1.724131,0.6729748,1.5284068,0.8254384,1.2340113,0.3849480,0.5067744,0.5699139,0.6873374,0.7249214,0.7619495,0.7774384,0.8100298,0.8351098,0.8492714,0.8684290,0.8924714,0.9176399,0.9351201,0.9620882,0.9850588,0.9889998,1.0103011,1.0295915,1.0426226,1.0596830,1.0933799,1.1025251,1.1238657,1.1499311,1.1825122,1.2067991,1.2195929,1.2621506,1.3023833,1.3351562,1.3679611,1.4246238,1.4553721,1.5096736,1.5820641,1.6264589,1.7267784,1.8563335,2.0711734,2.8978990,2020-04-06 14:15:00
shake_intensity,1,2020-04-06 17:50:00,0.5423952,0.6433083,0.3441506,0.7894889,0.3795337,0.7590550,0.3717075,0.6433119,0.4243728,0.5476496,0.3253503,0.3716814,0.3896801,0.3988118,0.4055903,0.4211151,0.4284531,0.4323929,0.4411697,0.4443701,0.4579498,0.4685918,0.4717761,0.4754701,0.4871634,0.4913072,0.4966553,0.4998446,0.5032179,0.5122427,0.5180784,0.5230491,0.5283173,0.5346509,0.5432605,0.5474706,0.5531617,0.5600806,0.5778958,0.5979816,0.6055831,0.6179030,0.6312909,0.6433060,0.6677728,0.6903995,0.7205828,0.7515488,0.7785704,0.8453650,1.0032464,2020-04-06 17:50:00
shake_intensity,1,2020-04-06 14:35:00,0.9087813,0.9781146,0.2424822,1.4228308,0.4516939,1.4228308,0.4988533,1.2355089,0.7128122,1.0697330,0.2424822,0.3243204,0.4491836,0.5171112,0.5411517,0.5795802,0.6174936,0.6420164,0.6692905,0.6910848,0.7162149,0.7317159,0.7496323,0.7615199,0.7755705,0.7884543,0.7992984,0.8152362,0.8303415,0.8416100,0.8681064,0.8954683,0.9135503,0.9351758,0.9526519,0.9635545,0.9849718,1.0137626,1.0302687,1.0582149,1.0764564,1.1089938,1.1228406,1.1768329,1.2108572,1.2527879,1.2947832,1.3531466,1.4162658,1.7092923,2.0684150,2020-04-06 14:35:00
shake_intensity,1,2020-04-06 17:55:00,0.5586221,0.5761491,0.3546627,0.7352086,0.3546627,0.6903052,0.4309349,0.6903052,0.4847056,0.6195784,0.3378637,0.3715084,0.3891129,0.4132073,0.4296994,0.4472101,0.4553507,0.4619493,0.4704753,0.4764382,0.4883617,0.4952814,0.5040046,0.5090839,0.5130833,0.5230757,0.5268124,0.5361470,0.5425705,0.5484154,0.5544863,0.5567195,0.5616996,0.5702760,0.5766948,0.5861374,0.5936750,0.6021640,0.6083241,0.6147034,0.6273618,0.6379341,0.6442985,0.6713372,0.6831525,0.6870707,0.6895846,0.7122380,0.7247314,0.7663912,0.8603027,2020-04-06 17:55:00
shake_intensity,1,2020-04-06 14:45:00,0.9495374,0.9994552,0.4579159,1.5557902,0.4702509,1.4219726,0.5390723,1.3108607,0.5371329,0.9529514,0.3622695,0.4827989,0.5280185,0.5480889,0.5724214,0.5894413,0.6176538,0.6464359,0.6617245,0.6787398,0.6972142,0.7264415,0.7616765,0.7823323,0.8075317,0.8264823,0.8595251,0.8757916,0.8978325,0.9124826,0.9349569,0.9405650,0.9477728,0.9805054,0.9983935,1.0095954,1.0374244,1.0631006,1.0868490,1.1180286,1.1412709,1.1690393,1.1956122,1.2574421,1.3022290,1.3217302,1.3654028,1.4528345,1.4938760,1.5963805,1.7646102,2020-04-06 14:45:00
shake_intensity,1,2020-04-07 23:35:00,0.549173,0.4203145,0.3370709,0.8568096,0.3370709,0.7547524,0.3708087,0.6888834,0.4019082,0.5509903,0.2777470,0.3371283,0.3634360,0.3860140,0.4020422,0.4051671,0.4144482,0.4225840,0.4355544,0.4448547,0.4506414,0.4607395,0.4638289,0.4691925,0.4813304,0.4906907,0.4966616,0.4996838,0.5053188,0.5142732,0.5233451,0.5254940,0.5327066,0.5444733,0.5510735,0.5669187,0.5831871,0.5956430,0.6164081,0.6249003,0.6348102,0.6424783,0.6542260,0.6680301,0.6819918,0.7146440,0.7331441,0.7557727,0.8069829,0.8571869,1.1084664,2020-04-07 23:35:00
shake_intensity,1,2020-04-06 14:50:00,0.8084351,1.021367,0.3510983,1.3496768,0.3786721,1.2206160,0.4704392,1.1116248,0.5246572,0.8209548,0.2781946,0.3869315,0.4458929,0.4835576,0.5209478,0.5324879,0.5424782,0.5607773,0.5757770,0.5999777,0.6216226,0.6341771,0.6412766,0.6540699,0.6666343,0.6769320,0.6905678,0.6988928,0.7083821,0.7278568,0.7399072,0.7593825,0.7886075,0.7994407,0.8142264,0.8379346,0.8475260,0.8805585,0.9190124,0.9396920,0.9855325,1.0231307,1.0537837,1.0865282,1.1041509,1.1358578,1.1937581,1.2231923,1.3236028,1.4553747,1.7271377,2020-04-06 14:50:00
