loc,cat,dateHour,maxMAP,maxCIR
1,shake_intensity,2020-04-06 11:00:00,0.9,1.27
1,shake_intensity,2020-04-06 14:00:00,1,1.5
1,shake_intensity,2020-04-06 15:00:00,0.72,0.86
1,shake_intensity,2020-04-06 16:00:00,0.7,0.76
1,shake_intensity,2020-04-06 17:00:00,0.54,0.55
1,shake_intensity,2020-04-06 18:00:00,0.5,0.45
1,shake_intensity,2020-04-06 19:00:00,0.58,0.36
1,shake_intensity,2020-04-06 20:00:00,0.42,0.48
1,shake_intensity,2020-04-06 21:00:00,0.57,0.36
1,shake_intensity,2020-04-06 22:00:00,0.51,0.38
1,shake_intensity,2020-04-07 00:00:00,0.52,0.51
1,shake_intensity,2020-04-07 03:00:00,0.43,0.4
1,shake_intensity,2020-04-07 05:00:00,0.52,0.35
1,shake_intensity,2020-04-07 06:00:00,0.49,0.35
1,shake_intensity,2020-04-07 07:00:00,0.46,0.36
1,shake_intensity,2020-04-07 08:00:00,0.49,0.4
1,shake_intensity,2020-04-07 10:00:00,0.54,0.46
1,shake_intensity,2020-04-07 12:00:00,0.54,0.52
1,shake_intensity,2020-04-07 13:00:00,0.6,0.48
1,shake_intensity,2020-04-07 16:00:00,0.54,0.39
1,shake_intensity,2020-04-07 17:00:00,0.44,0.41
1,shake_intensity,2020-04-07 18:00:00,0.51,0.37
1,shake_intensity,2020-04-07 20:00:00,0.51,0.34
1,shake_intensity,2020-04-07 23:00:00,0.53,0.52
1,shake_intensity,2020-04-08 01:00:00,0.59,0.42
1,shake_intensity,2020-04-08 04:00:00,0.54,0.45
1,shake_intensity,2020-04-08 06:00:00,0.49,0.43
1,shake_intensity,2020-04-08 08:00:00,0.9,0.46
1,shake_intensity,2020-04-08 09:00:00,0.99,0.36
1,shake_intensity,2020-04-08 10:00:00,1,0.31
1,shake_intensity,2020-04-08 11:00:00,0.92,0.28
1,shake_intensity,2020-04-08 12:00:00,0.9,0.38
1,shake_intensity,2020-04-08 13:00:00,0.83,0.34
1,shake_intensity,2020-04-08 14:00:00,0.82,0.38
1,shake_intensity,2020-04-08 15:00:00,0.78,0.4
1,shake_intensity,2020-04-08 16:00:00,0.79,0.56
1,shake_intensity,2020-04-08 17:00:00,0.7,0.44
1,shake_intensity,2020-04-08 21:00:00,0.67,0.49
1,shake_intensity,2020-04-09 00:00:00,0.68,0.62
1,shake_intensity,2020-04-09 01:00:00,0.72,0.59
1,shake_intensity,2020-04-09 02:00:00,0.74,0.43
1,shake_intensity,2020-04-09 04:00:00,0.72,0.54
1,shake_intensity,2020-04-09 05:00:00,0.8,0.7
1,shake_intensity,2020-04-09 06:00:00,0.75,0.54
1,shake_intensity,2020-04-09 07:00:00,0.77,0.48
1,shake_intensity,2020-04-09 10:00:00,0.7,0.63
1,shake_intensity,2020-04-09 11:00:00,0.71,0.62
1,shake_intensity,2020-04-09 13:00:00,0.74,0.4
1,shake_intensity,2020-04-09 15:00:00,0.62,0.61
1,shake_intensity,2020-04-09 16:00:00,0.28,0.23
1,shake_intensity,2020-04-09 17:00:00,0.24,0.21
1,shake_intensity,2020-04-09 18:00:00,0.21,0.22
1,shake_intensity,2020-04-09 21:00:00,0.19,0.21
1,shake_intensity,2020-04-09 23:00:00,0.2,0.23
1,shake_intensity,2020-04-10 04:00:00,0.18,0.33
1,shake_intensity,2020-04-10 08:00:00,0.23,0.29
1,shake_intensity,2020-04-10 09:00:00,0.24,0.63
1,shake_intensity,2020-04-10 12:00:00,0.31,0.55
1,shake_intensity,2020-04-10 15:00:00,0.33,0.72
1,shake_intensity,2020-04-10 16:00:00,0.31,0.68
1,shake_intensity,2020-04-10 19:00:00,0.31,0.64
1,shake_intensity,2020-04-10 22:00:00,0.34,0.43
2,shake_intensity,2020-04-06 00:00:00,0.54,1.21
2,shake_intensity,2020-04-06 01:00:00,0.85,1.17
2,shake_intensity,2020-04-06 02:00:00,0.68,1.12
2,shake_intensity,2020-04-06 03:00:00,0.67,0.89
2,shake_intensity,2020-04-06 04:00:00,0.62,0.72
2,shake_intensity,2020-04-06 05:00:00,0.61,0.86
2,shake_intensity,2020-04-06 06:00:00,0.62,0.47
2,shake_intensity,2020-04-06 08:00:00,0.67,0.68
2,shake_intensity,2020-04-06 09:00:00,0.56,0.67
2,shake_intensity,2020-04-06 10:00:00,0.57,0.53
2,shake_intensity,2020-04-06 11:00:00,0.57,0.63
2,shake_intensity,2020-04-06 12:00:00,0.49,0.63
2,shake_intensity,2020-04-06 14:00:00,0.55,0.51
2,shake_intensity,2020-04-06 15:00:00,0.49,0.42
2,shake_intensity,2020-04-06 16:00:00,0.53,0.28
2,shake_intensity,2020-04-06 17:00:00,0.33,0.2
2,shake_intensity,2020-04-06 18:00:00,0.29,0.19
2,shake_intensity,2020-04-06 19:00:00,0.31,0.15
2,shake_intensity,2020-04-06 20:00:00,0.31,0.16
2,shake_intensity,2020-04-06 21:00:00,0.31,0.17
2,shake_intensity,2020-04-06 22:00:00,0.3,0.26
2,shake_intensity,2020-04-07 00:00:00,0.31,0.27
2,shake_intensity,2020-04-07 01:00:00,0.28,0.19
2,shake_intensity,2020-04-07 02:00:00,0.29,0.14
2,shake_intensity,2020-04-07 03:00:00,0.28,0.22
2,shake_intensity,2020-04-07 04:00:00,0.32,0.16
2,shake_intensity,2020-04-07 05:00:00,0.32,0.27
2,shake_intensity,2020-04-07 06:00:00,0.33,0.29
2,shake_intensity,2020-04-07 08:00:00,0.31,0.18
2,shake_intensity,2020-04-07 10:00:00,0.31,0.25
2,shake_intensity,2020-04-07 11:00:00,0.41,0.33
2,shake_intensity,2020-04-07 12:00:00,0.31,0.21
2,shake_intensity,2020-04-07 13:00:00,0.36,0.2
2,shake_intensity,2020-04-07 14:00:00,0.36,0.34
2,shake_intensity,2020-04-07 16:00:00,0.34,0.2
2,shake_intensity,2020-04-07 17:00:00,0.34,0.15
2,shake_intensity,2020-04-07 18:00:00,0.36,0.25
2,shake_intensity,2020-04-07 19:00:00,0.37,0.23
2,shake_intensity,2020-04-07 20:00:00,0.38,0.35
2,shake_intensity,2020-04-07 21:00:00,0.36,0.25
2,shake_intensity,2020-04-07 22:00:00,0.38,0.21
2,shake_intensity,2020-04-08 00:00:00,0.42,0.61
2,shake_intensity,2020-04-08 01:00:00,0.36,0.27
2,shake_intensity,2020-04-08 02:00:00,0.36,0.22
2,shake_intensity,2020-04-08 04:00:00,0.34,0.24
2,shake_intensity,2020-04-08 05:00:00,0.38,0.33
2,shake_intensity,2020-04-08 06:00:00,0.37,0.35
2,shake_intensity,2020-04-08 07:00:00,0.32,0.33
2,shake_intensity,2020-04-08 08:00:00,2.18,1.03
2,shake_intensity,2020-04-08 09:00:00,2.18,0.41
2,shake_intensity,2020-04-08 10:00:00,2.11,0.43
2,shake_intensity,2020-04-08 11:00:00,1.64,0.45
2,shake_intensity,2020-04-08 12:00:00,1.59,0.53
2,shake_intensity,2020-04-08 13:00:00,1.45,0.56
2,shake_intensity,2020-04-08 14:00:00,1.64,0.74
2,shake_intensity,2020-04-08 15:00:00,1.5,0.77
2,shake_intensity,2020-04-08 16:00:00,1.53,1.01
2,shake_intensity,2020-04-08 17:00:00,1.53,1.05
2,shake_intensity,2020-04-08 18:00:00,1.38,1.13
2,shake_intensity,2020-04-08 19:00:00,1.28,1.18
2,shake_intensity,2020-04-08 20:00:00,1.15,0.92
2,shake_intensity,2020-04-08 21:00:00,1.13,1.02
2,shake_intensity,2020-04-08 22:00:00,0.95,1.58
2,shake_intensity,2020-04-09 00:00:00,0.97,1.36
2,shake_intensity,2020-04-09 01:00:00,1.03,1.64
2,shake_intensity,2020-04-09 02:00:00,1.11,1.21
2,shake_intensity,2020-04-09 03:00:00,0.86,1.22
2,shake_intensity,2020-04-09 04:00:00,0.84,1.27
2,shake_intensity,2020-04-09 06:00:00,0.73,1.24
2,shake_intensity,2020-04-09 07:00:00,0.63,1.12
2,shake_intensity,2020-04-09 09:00:00,0.45,0.92
2,shake_intensity,2020-04-09 10:00:00,0.46,0.78
2,shake_intensity,2020-04-09 11:00:00,0.44,0.86
2,shake_intensity,2020-04-09 15:00:00,1.04,0.74
2,shake_intensity,2020-04-09 16:00:00,1.13,0.47
2,shake_intensity,2020-04-09 17:00:00,1.15,0.47
2,shake_intensity,2020-04-09 18:00:00,1.12,0.58
2,shake_intensity,2020-04-09 19:00:00,1.06,0.74
2,shake_intensity,2020-04-09 20:00:00,1.02,0.76
2,shake_intensity,2020-04-09 21:00:00,0.94,0.82
2,shake_intensity,2020-04-09 22:00:00,0.9,0.95
2,shake_intensity,2020-04-09 23:00:00,0.94,0.79
2,shake_intensity,2020-04-10 00:00:00,0.98,0.78
2,shake_intensity,2020-04-10 02:00:00,0.75,0.98
2,shake_intensity,2020-04-10 03:00:00,0.64,0.77
2,shake_intensity,2020-04-10 04:00:00,0.73,0.91
2,shake_intensity,2020-04-10 05:00:00,0.6,0.75
2,shake_intensity,2020-04-10 06:00:00,0.74,0.91
2,shake_intensity,2020-04-10 10:00:00,0.68,1.03
2,shake_intensity,2020-04-10 11:00:00,0.47,0.82
2,shake_intensity,2020-04-10 13:00:00,0.67,0.93
2,shake_intensity,2020-04-10 14:00:00,0.64,0.91
2,shake_intensity,2020-04-10 15:00:00,0.55,0.74
2,shake_intensity,2020-04-10 18:00:00,0.52,1.05
2,shake_intensity,2020-04-10 19:00:00,0.61,0.78
2,shake_intensity,2020-04-10 20:00:00,0.61,0.72
2,shake_intensity,2020-04-10 21:00:00,0.55,0.91
2,shake_intensity,2020-04-10 22:00:00,0.51,0.97
2,shake_intensity,2020-04-11 00:00:00,0.57,0.89
3,shake_intensity,2020-04-06 14:00:00,0.9,0.59
3,shake_intensity,2020-04-06 15:00:00,1.06,0.55
3,shake_intensity,2020-04-06 16:00:00,0.89,0.32
3,shake_intensity,2020-04-06 17:00:00,0.85,0.33
3,shake_intensity,2020-04-06 18:00:00,0.81,0.3
3,shake_intensity,2020-04-06 19:00:00,0.78,0.26
3,shake_intensity,2020-04-06 20:00:00,0.78,0.32
3,shake_intensity,2020-04-06 21:00:00,0.79,0.23
3,shake_intensity,2020-04-06 23:00:00,0.78,0.25
3,shake_intensity,2020-04-07 00:00:00,0.78,0.25
3,shake_intensity,2020-04-07 01:00:00,0.76,0.37
3,shake_intensity,2020-04-07 02:00:00,0.82,0.28
3,shake_intensity,2020-04-07 04:00:00,0.77,0.27
3,shake_intensity,2020-04-07 05:00:00,0.76,0.6
3,shake_intensity,2020-04-07 06:00:00,0.73,0.37
3,shake_intensity,2020-04-07 07:00:00,0.75,0.27
3,shake_intensity,2020-04-07 08:00:00,0.78,0.35
3,shake_intensity,2020-04-07 09:00:00,0.79,0.5
3,shake_intensity,2020-04-07 11:00:00,0.77,0.39
3,shake_intensity,2020-04-07 12:00:00,0.78,0.31
3,shake_intensity,2020-04-07 13:00:00,0.76,0.5
3,shake_intensity,2020-04-07 14:00:00,0.74,0.59
3,shake_intensity,2020-04-07 15:00:00,0.74,0.31
3,shake_intensity,2020-04-07 17:00:00,0.72,0.36
3,shake_intensity,2020-04-07 18:00:00,0.75,0.5
3,shake_intensity,2020-04-07 21:00:00,0.69,0.43
3,shake_intensity,2020-04-07 22:00:00,0.68,0.47
3,shake_intensity,2020-04-07 23:00:00,0.76,0.49
3,shake_intensity,2020-04-08 00:00:00,0.73,0.32
3,shake_intensity,2020-04-08 03:00:00,0.67,0.35
3,shake_intensity,2020-04-08 04:00:00,0.7,0.36
3,shake_intensity,2020-04-08 06:00:00,0.72,0.46
3,shake_intensity,2020-04-08 08:00:00,6.1,0.72
3,shake_intensity,2020-04-08 09:00:00,6.05,0.45
3,shake_intensity,2020-04-09 01:00:00,4.23,2.88
3,shake_intensity,2020-04-09 02:00:00,3,2.4
3,shake_intensity,2020-04-09 04:00:00,2.24,2.7
3,shake_intensity,2020-04-09 05:00:00,1.07,1.8
3,shake_intensity,2020-04-09 06:00:00,0.56,1.18
3,shake_intensity,2020-04-09 09:00:00,0.51,1.75
3,shake_intensity,2020-04-09 10:00:00,0.52,1.29
3,shake_intensity,2020-04-09 11:00:00,0.32,0.87
3,shake_intensity,2020-04-09 12:00:00,0.56,1.1
3,shake_intensity,2020-04-09 13:00:00,0.48,1.03
3,shake_intensity,2020-04-09 14:00:00,0.43,1.2
3,shake_intensity,2020-04-09 15:00:00,4.85,0.68
3,shake_intensity,2020-04-10 12:00:00,5,3.72
3,shake_intensity,2020-04-10 14:00:00,0.9,3.25
3,shake_intensity,2020-04-10 15:00:00,1.32,2.6
3,shake_intensity,2020-04-10 16:00:00,0.6,1.33
3,shake_intensity,2020-04-10 19:00:00,0.32,1.27
3,shake_intensity,2020-04-10 20:00:00,0.56,1.36
3,shake_intensity,2020-04-10 21:00:00,0.32,0.98
3,shake_intensity,2020-04-10 22:00:00,0.24,1.11
3,shake_intensity,2020-04-10 23:00:00,0.28,1.51
4,shake_intensity,2020-04-06 14:00:00,1.87,1.55
4,shake_intensity,2020-04-06 15:00:00,2,1.6
4,shake_intensity,2020-04-06 16:00:00,2.01,0.99
4,shake_intensity,2020-04-06 17:00:00,1.93,0.96
4,shake_intensity,2020-04-06 18:00:00,1.94,0.82
4,shake_intensity,2020-04-06 23:00:00,1.8,1.05
4,shake_intensity,2020-04-07 00:00:00,1.72,0.94
4,shake_intensity,2020-04-07 05:00:00,1.36,1.42
4,shake_intensity,2020-04-07 10:00:00,1.62,0.96
4,shake_intensity,2020-04-07 11:00:00,1.01,1.26
4,shake_intensity,2020-04-07 19:00:00,1.42,1.31
4,shake_intensity,2020-04-07 20:00:00,1.02,1.01
4,shake_intensity,2020-04-07 22:00:00,0.9,1.18
4,shake_intensity,2020-04-08 01:00:00,0.78,1.06
4,shake_intensity,2020-04-08 03:00:00,0.89,0.94
4,shake_intensity,2020-04-08 04:00:00,0.83,1.19
4,shake_intensity,2020-04-08 06:00:00,0.4,0.81
4,shake_intensity,2020-04-08 07:00:00,0.76,1.06
4,shake_intensity,2020-04-08 08:00:00,6.29,2.73
4,shake_intensity,2020-04-08 09:00:00,5.16,1.37
4,shake_intensity,2020-04-08 10:00:00,4.77,1.25
4,shake_intensity,2020-04-08 11:00:00,4.84,1.38
4,shake_intensity,2020-04-08 12:00:00,4.4,1.45
4,shake_intensity,2020-04-08 13:00:00,4.71,1.9
4,shake_intensity,2020-04-08 14:00:00,4.33,2.22
4,shake_intensity,2020-04-08 15:00:00,4.88,2.58
4,shake_intensity,2020-04-08 16:00:00,4.49,2.37
4,shake_intensity,2020-04-08 17:00:00,4.05,2.59
4,shake_intensity,2020-04-08 18:00:00,4.6,3.31
4,shake_intensity,2020-04-08 19:00:00,3.65,3.16
4,shake_intensity,2020-04-08 22:00:00,2.34,3.29
4,shake_intensity,2020-04-08 23:00:00,1.24,2.6
4,shake_intensity,2020-04-09 06:00:00,0.92,2.34
4,shake_intensity,2020-04-09 08:00:00,0.75,1.87
4,shake_intensity,2020-04-09 10:00:00,0.59,1.46
4,shake_intensity,2020-04-09 12:00:00,0.47,1.6
4,shake_intensity,2020-04-09 15:00:00,5.2,2.55
4,shake_intensity,2020-04-09 16:00:00,5.21,1.56
4,shake_intensity,2020-04-09 17:00:00,5.35,1.84
4,shake_intensity,2020-04-09 18:00:00,5.44,2.19
4,shake_intensity,2020-04-09 19:00:00,5.02,2.21
