cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
buildings,1,2020-04-06 02:00:00,5.022589,4.866744,2.751066,7.612548,3.079716,6.822117,3.222869,5.918076,3.950973,5.295403, 2.751066, 3.096244, 3.340706, 3.373724, 3.532458, 3.658506, 3.783836, 3.893941, 3.946788, 3.989289, 4.055072, 4.180396, 4.238854, 4.344681, 4.389343, 4.545012, 4.600379, 4.630452, 4.697336, 4.768772, 4.807435, 4.896486, 4.927956, 4.968905, 5.071114, 5.146319, 5.218652, 5.255413, 5.294679, 5.412693, 5.480430, 5.591312, 5.686371, 5.818044, 6.024364, 6.292696, 6.670518, 6.832492, 7.542517, 9.564931,11.888280,2020-04-06 02:00:00
buildings,1,2020-04-06 02:15:00,5.466014,4.911062,3.398223,8.484759,3.466669,7.503880,3.987675,7.160075,4.150751,5.658737,2.417568,3.397375,3.662563,3.775084,4.082359,4.156410,4.213495,4.283355,4.354191,4.442163,4.566748,4.606533,4.688852,4.738360,4.821347,4.916825,4.996397,5.013026,5.095165,5.149245,5.259050,5.360985,5.418142,5.520014,5.586461,5.669691,5.803361,5.841175,6.040474,6.084490,6.235313,6.429822,6.557522,6.686950,6.988637,7.085352,7.314847,7.467528,7.678425,8.467904,9.467722,2020-04-06 02:15:00
buildings,1,2020-04-06 02:20:00,4.911628,4.80116,3.680779,6.262069,3.660055,5.925283,3.823937,5.602381,4.482694,5.326205,3.439343,3.705737,3.813413,3.842247,3.920747,4.027984,4.171833,4.255116,4.315228,4.395725,4.460163,4.509355,4.532327,4.591134,4.635368,4.658897,4.698485,4.744818,4.802025,4.832277,4.887341,4.936808,4.970457,5.016473,5.063034,5.128011,5.146740,5.202831,5.250231,5.276348,5.317617,5.372104,5.478182,5.562086,5.593971,5.696705,5.833468,6.003767,6.121404,6.540996,7.181905,2020-04-06 02:20:00
buildings,1,2020-04-06 02:25:00,5.608086,5.283975,3.969753,7.127213,4.394446,7.033018,4.634127,6.738076,5.010028,6.088541,3.761468,4.177404,4.398796,4.544161,4.632128,4.723611,4.765679,4.829220,4.918816,4.957118,5.012239,5.043301,5.107309,5.153715,5.208743,5.255526,5.289063,5.418292,5.470095,5.492694,5.534143,5.572660,5.658716,5.690728,5.758680,5.842096,5.887340,5.915980,5.991368,6.058768,6.121365,6.189298,6.347775,6.423826,6.594296,6.669218,6.721996,6.849386,7.033660,7.316067,7.872932,2020-04-06 02:25:00
buildings,1,2020-04-06 02:30:00,6.062764,5.901518,4.392155,7.850188,4.730381,7.298551,4.955315,6.813037,5.232613,6.199579,4.392155,4.700472,4.949689,5.034949,5.130405,5.163261,5.216307,5.274042,5.336922,5.394805,5.468267,5.508268,5.545842,5.602159,5.658250,5.710612,5.788826,5.830610,5.873566,5.932546,5.943968,5.989938,6.012774,6.067156,6.104545,6.169581,6.189485,6.305148,6.350741,6.458370,6.514601,6.597007,6.666425,6.706170,6.795541,6.912069,7.175089,7.286922,7.801612,8.408364,9.478115,2020-04-06 02:30:00
buildings,1,2020-04-06 03:00:00,8.70267,8.047761, 4.754536,13.165973, 5.102191,12.043442, 5.529159,11.073459,6.321448,8.935330, 3.980144, 5.205947, 5.532897, 5.897941, 6.037064, 6.327909, 6.433662, 6.484333, 6.547508, 6.678044, 6.800955, 7.013218, 7.352677, 7.428094, 7.513715, 7.703119, 7.833961, 7.946437, 8.083316, 8.258938, 8.410683, 8.475794, 8.505556, 8.656053, 8.855216, 8.965481, 9.111745, 9.307727, 9.644926, 9.975437,10.201730,10.376949,10.634877,10.827749,11.099546,11.508631,11.839758,12.174838,12.996431,14.630850,16.638595,2020-04-06 03:00:00
buildings,1,2020-04-06 03:05:00,7.134541,6.614718, 4.871641,10.400552,4.871641,8.931855,5.336227,8.506934,5.861347,7.341757, 4.779900, 5.044018, 5.232463, 5.403823, 5.554175, 5.628711, 5.779705, 5.904681, 5.998954, 6.135917, 6.224790, 6.283811, 6.407099, 6.437940, 6.503523, 6.533936, 6.577904, 6.623787, 6.688079, 6.754676, 6.797641, 6.835936, 6.894530, 6.973850, 7.038819, 7.171744, 7.286261, 7.423450, 7.570837, 7.709783, 7.860050, 8.005172, 8.156362, 8.265355, 8.426175, 8.633332, 8.854123, 9.194301, 9.908364,10.758411,14.438055,2020-04-06 03:05:00
buildings,1,2020-04-06 17:30:00,1.516537,1.046633,0.413998,2.728667,0.442299,2.494787,0.7507577,2.4947872,0.7119997,1.6200168,0.3045760,0.4659650,0.5731331,0.6265181,0.6807083,0.7596073,0.7851281,0.8398904,0.8733448,0.9114011,0.9466684,1.0057920,1.0408797,1.1076276,1.1423909,1.1673054,1.2013258,1.2603706,1.3151330,1.3895367,1.4353021,1.4697194,1.5181334,1.5522268,1.5976526,1.6925924,1.8272465,1.8604056,1.8740315,1.9291971,1.9673370,2.0285007,2.1487177,2.2310429,2.3132972,2.3912830,2.4501199,2.5476933,2.6825916,3.0409547,3.6480628,2020-04-06 17:30:00
buildings,1,2020-04-06 03:50:00,5.691125,6.088166,2.182586,8.859455,2.797969,8.625522,3.221006,7.625333,3.933444,6.385253, 1.847388, 2.586999, 2.878023, 3.254918, 3.490793, 3.631536, 3.765138, 3.919864, 4.022883, 4.171682, 4.301398, 4.362853, 4.466070, 4.617571, 4.793780, 4.923220, 5.193014, 5.311188, 5.524254, 5.672843, 5.758654, 5.850915, 5.914298, 6.046776, 6.168591, 6.206346, 6.306379, 6.354850, 6.485901, 6.656693, 6.784494, 6.970798, 7.156609, 7.312814, 7.468822, 7.633072, 8.147213, 8.414817, 8.631409, 9.407062,12.359369,2020-04-06 03:50:00
buildings,1,2020-04-06 04:15:00,6.161191,6.240044,3.397619,8.752978,3.397619,7.930288,4.123617,7.459506,5.644333,7.326476, 2.546670, 3.428982, 3.960620, 4.194326, 4.399471, 4.496073, 4.700937, 4.806025, 4.989572, 5.084978, 5.203712, 5.273587, 5.364081, 5.534109, 5.655219, 5.724822, 5.806105, 5.906320, 5.996984, 6.087962, 6.151843, 6.176866, 6.276669, 6.350990, 6.398449, 6.467010, 6.605594, 6.674375, 6.781437, 6.889991, 6.961682, 7.033112, 7.115439, 7.270335, 7.355520, 7.549335, 7.801329, 8.001401, 8.582612, 9.264819,15.074100,2020-04-06 04:15:00
