time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-06 02:00:00,1,buildings,5.02,4.86,2.75,7.61,3.08,6.82,3.22,5.92,3.95,5.3,1586138400,4.86,0,1,0,0,PALACE HILLS
2020-04-06 02:05:00,1,buildings,5.02,4.86,2.75,7.61,3.08,6.82,3.22,5.92,3.95,5.3,1586138400,4.86,300,1,0,0,PALACE HILLS
2020-04-06 02:10:00,1,buildings,5.02,4.86,2.75,7.61,3.08,6.82,3.22,5.92,3.95,5.3,1586138400,4.86,600,1,0,0,PALACE HILLS
2020-04-06 02:15:00,1,buildings,5.47,4.91,3.4,8.48,3.47,7.5,3.99,7.16,4.15,5.66,1586139300,5.09,0,1,0,0,PALACE HILLS
2020-04-06 02:20:00,1,buildings,4.91,4.84,3.68,6.26,3.66,5.93,3.82,5.6,4.48,5.33,1586139600,2.58,0,1,0,0,PALACE HILLS
2020-04-06 02:25:00,1,buildings,5.61,5.34,3.97,7.13,4.39,7.03,4.63,6.74,5.01,6.09,1586139900,3.16,0,1,0,0,PALACE HILLS
2020-04-06 02:30:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,0,1,0,0,PALACE HILLS
2020-04-06 02:35:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,300,1,0,0,PALACE HILLS
2020-04-06 02:40:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,600,1,0,0,PALACE HILLS
2020-04-06 02:45:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,900,1,0,0,PALACE HILLS
2020-04-06 02:50:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,1200,0,1,0,PALACE HILLS
2020-04-06 02:55:00,1,buildings,6.06,5.87,4.39,7.85,4.73,7.3,4.96,6.81,5.23,6.2,1586140200,3.46,1500,0,1,0,PALACE HILLS
2020-04-06 03:00:00,1,buildings,8.7,8.08,4.75,13.17,5.1,12.04,5.53,11.07,6.32,8.94,1586142000,5.25,0,1,0,0,PALACE HILLS
