time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-08 00:00:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,300,1,0,0,PALACE HILLS
2020-04-08 00:05:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,600,1,0,0,PALACE HILLS
2020-04-08 00:10:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,900,1,0,0,PALACE HILLS
2020-04-08 00:15:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,1200,0,1,0,PALACE HILLS
2020-04-08 00:20:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,1500,0,1,0,PALACE HILLS
2020-04-08 00:25:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,1800,0,1,0,PALACE HILLS
2020-04-08 00:30:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,2100,0,1,0,PALACE HILLS
2020-04-08 00:35:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,2400,0,1,0,PALACE HILLS
2020-04-08 00:40:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,2700,0,1,0,PALACE HILLS
2020-04-08 00:45:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,3000,0,1,0,PALACE HILLS
2020-04-08 00:50:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,3300,0,1,0,PALACE HILLS
2020-04-08 00:55:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,3600,0,1,0,PALACE HILLS
2020-04-08 01:00:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,3900,0,0,1,PALACE HILLS
2020-04-08 01:05:00,1,shake_intensity,0.53,0.53,0.36,0.76,0.35,0.68,0.39,0.63,0.48,0.6,1586303700,0.4,4200,0,0,1,PALACE HILLS
