location,cat,time,rating,count
3,power,2020-04-09 01:00:00,10,1438
3,sewer_and_water,2020-04-09 01:00:00,6,1421
3,shake_intensity,2020-04-09 01:00:00,6,1411
3,medical,2020-04-09 01:00:00,7,1409
3,roads_and_bridges,2020-04-09 01:00:00,6,1396
3,buildings,2020-04-09 01:00:00,5,1389
3,power,2020-04-09 01:00:00,8,1389
3,roads_and_bridges,2020-04-09 01:00:00,7,1018
3,roads_and_bridges,2020-04-09 01:00:00,8,1009
3,buildings,2020-04-09 01:00:00,7,1006
3,power,2020-04-09 01:00:00,9,1001
3,medical,2020-04-09 01:00:00,8,991
3,medical,2020-04-09 01:00:00,9,991
3,sewer_and_water,2020-04-09 01:00:00,8,971
3,buildings,2020-04-09 01:00:00,6,970
3,sewer_and_water,2020-04-09 01:00:00,7,961
3,shake_intensity,2020-04-09 01:00:00,2,772
3,sewer_and_water,2020-04-09 01:00:00,5,591
3,buildings,2020-04-09 01:00:00,4,583
3,roads_and_bridges,2020-04-09 01:00:00,5,577
3,power,2020-04-09 01:00:00,7,571
3,shake_intensity,2020-04-09 01:00:00,5,569
3,shake_intensity,2020-04-09 01:00:00,7,560
3,medical,2020-04-09 01:00:00,6,551
3,medical,2020-04-09 01:00:00,10,470
3,buildings,2020-04-09 01:00:00,8,424
3,sewer_and_water,2020-04-09 01:00:00,9,424
3,shake_intensity,2020-04-09 01:00:00,1,405
3,roads_and_bridges,2020-04-09 01:00:00,9,376
3,shake_intensity,2020-04-09 01:00:00,3,342
3,roads_and_bridges,2020-04-08 08:40:00,6,290
3,shake_intensity,2020-04-09 01:00:00,0,284
3,medical,2020-04-08 08:45:00,7,271
3,medical,2020-04-08 08:40:00,7,270
3,medical,2020-04-08 08:55:00,7,269
3,power,2020-04-08 08:55:00,8,263
3,power,2020-04-08 08:40:00,8,262
3,buildings,2020-04-08 08:40:00,5,261
3,buildings,2020-04-08 08:50:00,5,259
3,shake_intensity,2020-04-08 08:40:00,6,259
3,power,2020-04-08 08:45:00,8,258
3,roads_and_bridges,2020-04-08 08:55:00,6,258
3,shake_intensity,2020-04-08 08:50:00,6,257
3,power,2020-04-08 08:50:00,8,254
3,shake_intensity,2020-04-08 08:55:00,6,254
3,roads_and_bridges,2020-04-08 08:45:00,6,253
3,buildings,2020-04-08 08:55:00,5,252
3,sewer_and_water,2020-04-08 08:45:00,6,251
3,sewer_and_water,2020-04-08 08:55:00,6,251
3,sewer_and_water,2020-04-08 08:50:00,6,249
3,medical,2020-04-08 08:50:00,7,248
3,sewer_and_water,2020-04-08 08:40:00,6,248
3,shake_intensity,2020-04-08 08:45:00,6,248
3,medical,2020-04-08 09:00:00,7,245
3,power,2020-04-08 09:00:00,8,241
3,roads_and_bridges,2020-04-08 08:50:00,6,241
3,roads_and_bridges,2020-04-08 09:05:00,6,240
3,shake_intensity,2020-04-08 09:00:00,6,233
