location,cat,time,rating,count
3,power,2020-04-10 12:00:00,10,2951
3,sewer_and_water,2020-04-10 12:00:00,10,2911
3,roads_and_bridges,2020-04-10 12:00:00,10,2879
3,buildings,2020-04-10 12:00:00,7,2042
3,shake_intensity,2020-04-10 12:00:00,5,2018
3,medical,2020-04-10 12:00:00,7,2007
3,power,2020-04-09 01:00:00,10,1438
3,sewer_and_water,2020-04-09 01:00:00,6,1421
3,shake_intensity,2020-04-09 01:00:00,6,1411
3,medical,2020-04-09 01:00:00,7,1409
3,roads_and_bridges,2020-04-09 01:00:00,6,1396
3,buildings,2020-04-09 01:00:00,5,1389
3,power,2020-04-09 01:00:00,8,1389
8,shake_intensity,2020-04-09 09:15:00,2,1331
8,sewer_and_water,2020-04-09 09:15:00,9,1104
8,power,2020-04-09 09:15:00,9,1097
8,buildings,2020-04-09 09:15:00,7,1095
8,roads_and_bridges,2020-04-09 09:15:00,9,1092
3,roads_and_bridges,2020-04-09 01:00:00,7,1018
3,roads_and_bridges,2020-04-09 01:00:00,8,1009
3,buildings,2020-04-09 01:00:00,7,1006
3,power,2020-04-09 01:00:00,9,1001
3,medical,2020-04-09 01:00:00,8,991
3,medical,2020-04-09 01:00:00,9,991
3,sewer_and_water,2020-04-09 01:00:00,8,971
3,buildings,2020-04-09 01:00:00,6,970
3,sewer_and_water,2020-04-09 01:00:00,7,961
3,roads_and_bridges,2020-04-10 12:00:00,9,907
3,sewer_and_water,2020-04-10 12:00:00,9,873
3,medical,2020-04-10 12:00:00,6,871
3,buildings,2020-04-10 12:00:00,6,857
3,shake_intensity,2020-04-10 12:00:00,4,841
3,shake_intensity,2020-04-10 12:00:00,6,839
3,medical,2020-04-10 12:00:00,8,831
9,shake_intensity,2020-04-08 23:45:00,2,831
3,power,2020-04-10 12:00:00,9,824
3,buildings,2020-04-10 12:00:00,8,818
9,sewer_and_water,2020-04-08 23:45:00,9,817
8,roads_and_bridges,2020-04-10 02:30:00,10,812
9,power,2020-04-08 23:45:00,9,797
9,buildings,2020-04-08 23:45:00,8,794
9,roads_and_bridges,2020-04-08 23:45:00,9,791
9,medical,2020-04-08 23:45:00,7,790
3,shake_intensity,2020-04-09 01:00:00,2,772
10,power,2020-04-09 04:40:00,9,722
10,sewer_and_water,2020-04-09 04:40:00,6,713
8,buildings,2020-04-09 09:15:00,6,712
8,sewer_and_water,2020-04-09 09:15:00,8,710
10,roads_and_bridges,2020-04-09 04:40:00,6,705
8,roads_and_bridges,2020-04-09 09:15:00,8,700
10,buildings,2020-04-09 04:40:00,7,682
8,power,2020-04-09 09:15:00,8,658
10,shake_intensity,2020-04-09 04:40:00,2,636
8,shake_intensity,2020-04-09 09:15:00,3,607
3,sewer_and_water,2020-04-09 01:00:00,5,591
8,shake_intensity,2020-04-09 09:15:00,1,591
3,buildings,2020-04-09 01:00:00,4,583
8,shake_intensity,2020-04-10 02:30:00,1,583
8,sewer_and_water,2020-04-10 02:30:00,9,579
3,roads_and_bridges,2020-04-09 01:00:00,5,577
3,power,2020-04-09 01:00:00,7,571
3,shake_intensity,2020-04-09 01:00:00,5,569
8,power,2020-04-10 02:30:00,9,568
3,shake_intensity,2020-04-09 01:00:00,7,560
3,medical,2020-04-09 01:00:00,6,551
8,buildings,2020-04-10 02:30:00,7,551
8,roads_and_bridges,2020-04-09 09:15:00,10,503
8,power,2020-04-09 09:15:00,10,499
9,shake_intensity,2020-04-08 23:45:00,1,499
3,medical,2020-04-09 01:00:00,10,470
8,sewer_and_water,2020-04-09 09:15:00,10,468
9,roads_and_bridges,2020-04-08 23:45:00,8,427
3,buildings,2020-04-09 01:00:00,8,424
3,sewer_and_water,2020-04-09 01:00:00,9,424
9,power,2020-04-08 23:45:00,8,419
8,buildings,2020-04-09 09:15:00,8,418
3,shake_intensity,2020-04-09 01:00:00,1,405
9,sewer_and_water,2020-04-08 23:45:00,8,402
9,buildings,2020-04-08 23:45:00,7,401
9,medical,2020-04-08 23:45:00,6,401
3,roads_and_bridges,2020-04-09 01:00:00,9,376
9,medical,2020-04-08 23:45:00,8,349
9,roads_and_bridges,2020-04-08 23:45:00,10,347
10,buildings,2020-04-09 04:40:00,6,344
9,power,2020-04-08 23:45:00,10,343
3,shake_intensity,2020-04-09 01:00:00,3,342
8,power,2020-04-09 09:15:00,7,339
9,sewer_and_water,2020-04-08 23:45:00,10,337
8,sewer_and_water,2020-04-09 09:15:00,7,333
8,buildings,2020-04-09 09:15:00,5,329
9,buildings,2020-04-08 23:45:00,9,329
9,shake_intensity,2020-04-08 23:45:00,3,319
10,power,2020-04-09 04:40:00,8,317
8,roads_and_bridges,2020-04-09 09:15:00,7,314
10,roads_and_bridges,2020-04-09 04:40:00,7,313
10,sewer_and_water,2020-04-09 04:40:00,5,312
8,shake_intensity,2020-04-10 02:30:00,0,306
10,sewer_and_water,2020-04-09 04:40:00,7,297
3,roads_and_bridges,2020-04-08 08:40:00,6,290
10,shake_intensity,2020-04-09 04:40:00,1,290
11,buildings,2020-04-08 11:30:00,5,290
8,sewer_and_water,2020-04-10 02:30:00,10,289
10,power,2020-04-09 04:40:00,10,289
10,shake_intensity,2020-04-09 04:40:00,3,288
8,power,2020-04-10 02:30:00,8,286
11,sewer_and_water,2020-04-08 11:30:00,6,285
3,shake_intensity,2020-04-09 01:00:00,0,284
11,roads_and_bridges,2020-04-08 11:30:00,5,283
8,roads_and_bridges,2020-04-10 02:30:00,9,282
10,buildings,2020-04-09 04:40:00,8,281
8,buildings,2020-04-10 02:30:00,6,280
10,roads_and_bridges,2020-04-09 04:40:00,5,280
11,power,2020-04-08 11:30:00,9,279
11,medical,2020-04-08 11:30:00,4,276
3,medical,2020-04-08 08:45:00,7,271
8,buildings,2020-04-10 02:30:00,8,271
3,medical,2020-04-08 08:40:00,7,270
3,medical,2020-04-08 08:55:00,7,269
3,power,2020-04-08 08:55:00,8,263
3,power,2020-04-08 08:40:00,8,262
3,buildings,2020-04-08 08:40:00,5,261
8,sewer_and_water,2020-04-10 02:30:00,8,261
