time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
2020-04-08 17:50:00,10.0,6.0,10.0,3.0,8.0,,1
2020-04-09 13:50:00,2.0,10.0,0.0,8.0,4.0,0.0,1
2020-04-09 00:20:00,7.0,10.0,10.0,9.0,10.0,0.0,1
2020-04-08 17:25:00,1.0,1.0,2.0,10.0,7.0,,1
2020-04-08 02:50:00,9.0,7.0,1.0,6.0,9.0,,1
2020-04-09 05:30:00,2.0,7.0,3.0,10.0,10.0,,1
2020-04-08 04:30:00,2.0,10.0,1.0,2.0,8.0,,1
2020-04-10 11:00:00,5.0,0.0,4.0,10.0,8.0,,1
2020-04-10 19:40:00,10.0,7.0,7.0,1.0,3.0,0.0,1
2020-04-07 22:00:00,6.0,6.0,5.0,7.0,2.0,,1
2020-04-09 23:00:00,4.0,0.0,6.0,7.0,5.0,0.0,1
2020-04-08 15:30:00,2.0,4.0,9.0,6.0,6.0,,1
2020-04-08 20:10:00,2.0,2.0,2.0,7.0,4.0,,1
2020-04-10 15:05:00,1.0,7.0,5.0,10.0,5.0,1.0,1
2020-04-06 08:30:00,0.0,5.0,10.0,5.0,7.0,,1
2020-04-06 10:25:00,9.0,2.0,2.0,9.0,10.0,,1
2020-04-06 02:25:00,0.0,8.0,2.0,8.0,10.0,,1
2020-04-10 03:55:00,2.0,10.0,1.0,8.0,9.0,,1
2020-04-09 21:25:00,8.0,5.0,3.0,1.0,0.0,,1
2020-04-10 08:25:00,3.0,6.0,8.0,10.0,3.0,,1
2020-04-10 21:25:00,10.0,6.0,3.0,4.0,5.0,,1
2020-04-09 23:55:00,0.0,4.0,0.0,6.0,5.0,,1
2020-04-08 07:25:00,10.0,1.0,7.0,4.0,7.0,,1
2020-04-09 21:40:00,10.0,5.0,3.0,2.0,8.0,1.0,1
2020-04-06 14:10:00,8.0,10.0,8.0,7.0,0.0,,1
2020-04-09 04:45:00,8.0,4.0,2.0,8.0,10.0,,1
2020-04-06 17:10:00,1.0,5.0,4.0,5.0,10.0,,1
2020-04-10 17:20:00,0.0,5.0,3.0,7.0,2.0,,1
2020-04-08 14:35:00,5.0,6.0,1.0,9.0,6.0,0.0,1
2020-04-08 01:45:00,8.0,3.0,6.0,9.0,5.0,0.0,1
2020-04-07 07:45:00,2.0,8.0,10.0,6.0,1.0,,1
2020-04-09 20:55:00,3.0,1.0,10.0,9.0,10.0,,1
2020-04-08 06:45:00,5.0,4.0,5.0,9.0,5.0,,1
2020-04-08 20:15:00,10.0,2.0,10.0,3.0,1.0,,1
2020-04-06 02:15:00,3.0,9.0,8.0,9.0,9.0,,1
2020-04-09 02:05:00,8.0,7.0,10.0,10.0,2.0,,1
2020-04-09 01:25:00,6.0,4.0,4.0,3.0,3.0,1.0,1
2020-04-09 02:00:00,4.0,1.0,3.0,10.0,0.0,,1
2020-04-10 17:15:00,6.0,8.0,6.0,7.0,3.0,,1
2020-04-09 09:50:00,3.0,2.0,5.0,2.0,0.0,,1
2020-04-07 19:10:00,6.0,3.0,3.0,8.0,1.0,,1
2020-04-08 04:25:00,2.0,3.0,7.0,1.0,10.0,,1
2020-04-09 11:45:00,6.0,10.0,8.0,3.0,2.0,,1
2020-04-06 07:15:00,5.0,4.0,8.0,2.0,2.0,,1
2020-04-09 08:00:00,10.0,1.0,10.0,1.0,3.0,,1
2020-04-09 08:30:00,5.0,10.0,3.0,7.0,4.0,,1
2020-04-07 01:15:00,9.0,6.0,7.0,10.0,10.0,,1
2020-04-06 15:30:00,4.0,2.0,8.0,10.0,5.0,,1
2020-04-07 13:50:00,6.0,5.0,5.0,8.0,8.0,,1
2020-04-07 19:40:00,5.0,4.0,7.0,10.0,5.0,,1
2020-04-08 20:25:00,10.0,10.0,2.0,10.0,1.0,,1
2020-04-08 04:40:00,1.0,10.0,7.0,7.0,6.0,,1
2020-04-10 22:35:00,3.0,9.0,8.0,5.0,1.0,1.0,1
2020-04-06 12:15:00,3.0,1.0,0.0,7.0,9.0,,1
2020-04-07 01:05:00,10.0,5.0,7.0,10.0,6.0,,1
2020-04-06 19:20:00,8.0,9.0,4.0,7.0,1.0,,1
2020-04-09 06:20:00,9.0,4.0,8.0,1.0,5.0,,1
2020-04-07 06:25:00,5.0,5.0,4.0,5.0,6.0,,1
2020-04-08 07:55:00,5.0,7.0,4.0,6.0,2.0,,1
2020-04-07 05:20:00,6.0,4.0,10.0,10.0,2.0,,1
2020-04-06 19:05:00,0.0,4.0,0.0,5.0,10.0,0.0,1
2020-04-06 13:15:00,9.0,2.0,4.0,8.0,9.0,,1
2020-04-09 06:45:00,7.0,10.0,10.0,10.0,2.0,,1
2020-04-06 16:35:00,5.0,2.0,8.0,8.0,8.0,0.0,1
2020-04-06 23:35:00,1.0,1.0,0.0,1.0,6.0,,1
2020-04-07 20:15:00,5.0,3.0,0.0,5.0,3.0,0.0,1
2020-04-10 02:30:00,6.0,0.0,4.0,2.0,4.0,,1
2020-04-06 11:40:00,10.0,10.0,7.0,9.0,10.0,,1
2020-04-10 04:35:00,10.0,1.0,3.0,5.0,1.0,1.0,1
2020-04-06 11:30:00,10.0,9.0,7.0,1.0,6.0,1.0,1
2020-04-10 21:10:00,6.0,1.0,7.0,8.0,6.0,,1
2020-04-08 08:15:00,8.0,6.0,2.0,1.0,8.0,0.0,1
2020-04-10 21:15:00,7.0,9.0,10.0,10.0,8.0,,1
2020-04-09 00:35:00,5.0,8.0,2.0,7.0,8.0,,1
2020-04-09 16:45:00,10.0,6.0,1.0,10.0,5.0,,1
2020-04-06 04:40:00,10.0,3.0,7.0,8.0,2.0,,1
2020-04-07 09:55:00,3.0,0.0,10.0,5.0,2.0,,1
2020-04-06 14:25:00,10.0,7.0,0.0,0.0,5.0,,1
2020-04-07 11:30:00,2.0,10.0,7.0,1.0,9.0,,1
2020-04-06 14:15:00,9.0,3.0,5.0,9.0,5.0,1.0,1
2020-04-07 14:10:00,10.0,10.0,9.0,5.0,4.0,,1
2020-04-08 01:45:00,9.0,10.0,7.0,1.0,10.0,,1
2020-04-06 07:40:00,3.0,2.0,1.0,4.0,10.0,,1
2020-04-09 11:05:00,2.0,5.0,1.0,10.0,1.0,,1
2020-04-08 20:00:00,5.0,9.0,2.0,9.0,10.0,,1
2020-04-07 07:50:00,10.0,7.0,4.0,8.0,10.0,,1
2020-04-08 14:45:00,4.0,3.0,1.0,2.0,1.0,,1
2020-04-06 11:15:00,1.0,4.0,4.0,8.0,8.0,0.0,1
2020-04-08 21:05:00,5.0,7.0,5.0,3.0,8.0,,1
2020-04-10 15:30:00,8.0,6.0,8.0,3.0,3.0,,1
