time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-06 02:00:00,1,medical,6.31,5.51,3.64,8.86,4.34,8.68,4.34,7.81,4.34,6.18,1586138400,5.22,0,1,0,0,PALACE HILLS
2020-04-06 02:05:00,1,medical,6.31,5.51,3.64,8.86,4.34,8.68,4.34,7.81,4.34,6.18,1586138400,5.22,300,1,0,0,PALACE HILLS
2020-04-06 02:10:00,1,medical,6.31,5.51,3.64,8.86,4.34,8.68,4.34,7.81,4.34,6.18,1586138400,5.22,600,1,0,0,PALACE HILLS
2020-04-06 02:15:00,1,medical,6.52,6.37,4.5,8.35,4.7,7.98,5.51,7.98,5.55,6.79,1586139300,3.85,0,1,0,0,PALACE HILLS
2020-04-06 02:20:00,1,medical,6.61,6.34,5.31,8.35,5.31,7.92,5.37,7.56,5.8,6.88,1586139600,3.03,0,1,0,0,PALACE HILLS
2020-04-06 02:25:00,1,medical,7.22,6.95,5.47,9.34,5.63,8.83,5.74,8.23,6.3,7.6,1586139900,3.87,0,1,0,0,PALACE HILLS
2020-04-06 02:30:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,0,1,0,0,PALACE HILLS
2020-04-06 02:35:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,300,1,0,0,PALACE HILLS
2020-04-06 02:40:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,600,1,0,0,PALACE HILLS
2020-04-06 02:45:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,900,1,0,0,PALACE HILLS
2020-04-06 02:50:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,1200,0,1,0,PALACE HILLS
2020-04-06 02:55:00,1,medical,6.9,6.99,4.92,8.85,4.92,8.31,5.44,7.89,6.01,7.26,1586140200,3.94,1500,0,1,0,PALACE HILLS
2020-04-06 03:00:00,1,medical,7.08,6.27,5.43,8.9,5.76,8.72,5.74,8.04,6.13,7.47,1586142000,3.47,0,1,0,0,PALACE HILLS
2020-04-06 03:05:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,0,1,0,0,PALACE HILLS
2020-04-06 03:10:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,300,1,0,0,PALACE HILLS
2020-04-06 03:15:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,600,1,0,0,PALACE HILLS
2020-04-06 03:20:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,900,1,0,0,PALACE HILLS
2020-04-06 03:25:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,1200,0,1,0,PALACE HILLS
2020-04-06 03:30:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,1500,0,1,0,PALACE HILLS
2020-04-06 03:35:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,1800,0,1,0,PALACE HILLS
2020-04-06 03:40:00,1,medical,7.36,7.31,5.4,9.22,5.94,8.94,6.23,8.42,6.81,7.87,1586142300,3.81,2100,0,1,0,PALACE HILLS
