time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-06 02:00:00,1,power,1.91,0.6,0.16,4.45,0.27,3.72,0.27,2.89,0.27,1.69,1586138400,4.29,0,1,0,0,PALACE HILLS
2020-04-06 02:05:00,1,power,1.91,0.6,0.16,4.45,0.27,3.72,0.27,2.89,0.27,1.69,1586138400,4.29,300,1,0,0,PALACE HILLS
2020-04-06 02:10:00,1,power,1.91,0.6,0.16,4.45,0.27,3.72,0.27,2.89,0.27,1.69,1586138400,4.29,600,1,0,0,PALACE HILLS
2020-04-06 02:15:00,1,power,7.62,7.03,4.08,10.7,4.55,10.38,5.3,9.98,6.19,8.62,1586139300,5.92,0,1,0,0,PALACE HILLS
2020-04-06 02:20:00,1,power,2.6,0.5,0.05,6.03,0.05,5.23,0.14,4.47,0.05,2.42,1586139600,5.98,0,1,0,0,PALACE HILLS
2020-04-06 02:25:00,1,power,6.63,6.7,4.63,9.14,4.63,7.83,5.54,7.61,5.97,7.01,1586139900,4.51,0,1,0,0,PALACE HILLS
2020-04-06 02:30:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,0,1,0,0,PALACE HILLS
2020-04-06 02:35:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,300,1,0,0,PALACE HILLS
2020-04-06 02:40:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,600,1,0,0,PALACE HILLS
2020-04-06 02:45:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,900,1,0,0,PALACE HILLS
2020-04-06 02:50:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,1200,0,1,0,PALACE HILLS
2020-04-06 02:55:00,1,power,1.69,0.04,0,5.75,0,5.36,0,4.47,0,0.39,1586140200,5.75,1500,0,1,0,PALACE HILLS
2020-04-06 03:00:00,1,power,2.06,1.3,0.26,4.65,0.34,4.02,0.38,3.32,0.57,1.96,1586142000,4.39,0,1,0,0,PALACE HILLS
2020-04-06 03:05:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,0,1,0,0,PALACE HILLS
2020-04-06 03:10:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,300,1,0,0,PALACE HILLS
2020-04-06 03:15:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,600,1,0,0,PALACE HILLS
2020-04-06 03:20:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,900,1,0,0,PALACE HILLS
2020-04-06 03:25:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,1200,0,1,0,PALACE HILLS
2020-04-06 03:30:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,1500,0,1,0,PALACE HILLS
2020-04-06 03:35:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,1800,0,1,0,PALACE HILLS
2020-04-06 03:40:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,2100,0,1,0,PALACE HILLS
2020-04-06 03:45:00,1,power,8.89,7.92,4.44,15.89,4.44,13.91,4.76,12.06,6.11,10.1,1586142300,5.56,2400,0,1,0,PALACE HILLS
2020-04-06 03:50:00,1,power,0.43,0.04,0,1.61,0,1.16,0,0.79,0,0.18,1586145000,1.61,0,1,0,0,PALACE HILLS
2020-04-06 03:55:00,1,power,0.43,0.04,0,1.61,0,1.16,0,0.79,0,0.18,1586145000,1.61,300,1,0,0,PALACE HILLS
2020-04-06 04:00:00,1,power,0.43,0.04,0,1.61,0,1.16,0,0.79,0,0.18,1586145000,1.61,600,1,0,0,PALACE HILLS
2020-04-06 04:05:00,1,power,0.43,0.04,0,1.61,0,1.16,0,0.79,0,0.18,1586145000,1.61,900,1,0,0,PALACE HILLS
2020-04-06 04:10:00,1,power,0.43,0.04,0,1.61,0,1.16,0,0.79,0,0.18,1586145000,1.61,1200,0,1,0,PALACE HILLS
2020-04-06 04:15:00,1,power,5.45,4.64,2.48,8.61,2.97,7.83,3.26,7.04,3.26,5.29,1586146500,6.13,0,1,0,0,PALACE HILLS
2020-04-06 04:20:00,1,power,5.45,4.64,2.48,8.61,2.97,7.83,3.26,7.04,3.26,5.29,1586146500,6.13,300,1,0,0,PALACE HILLS
