time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-06 02:00:00,1,roads_and_bridges,1.33,0.59,0.07,3.42,0.07,2.72,0.07,2.13,0.18,1.09,1586138400,3.35,0,1,0,0,PALACE HILLS
2020-04-06 02:05:00,1,roads_and_bridges,1.33,0.59,0.07,3.42,0.07,2.72,0.07,2.13,0.18,1.09,1586138400,3.35,300,1,0,0,PALACE HILLS
2020-04-06 02:10:00,1,roads_and_bridges,1.33,0.59,0.07,3.42,0.07,2.72,0.07,2.13,0.18,1.09,1586138400,3.35,600,1,0,0,PALACE HILLS
2020-04-06 02:15:00,1,roads_and_bridges,3.59,3.29,1.75,5.8,1.77,5.16,2.25,4.87,2.49,3.82,1586139300,4.05,0,1,0,0,PALACE HILLS
2020-04-06 02:20:00,1,roads_and_bridges,6.33,4.98,2.85,10.23,3.52,9.38,3.57,8.05,3.88,6.45,1586139600,7.15,0,1,0,0,PALACE HILLS
2020-04-06 02:25:00,1,roads_and_bridges,4.46,4.52,2.54,6.4,2.83,5.9,3,5.54,3.75,5.08,1586139900,3.86,0,1,0,0,PALACE HILLS
2020-04-06 02:30:00,1,roads_and_bridges,4.08,4.18,2.92,5.41,3,5.11,3.21,4.77,3.53,4.36,1586140200,2.49,0,1,0,0,PALACE HILLS
2020-04-06 02:35:00,1,roads_and_bridges,4.08,4.18,2.92,5.41,3,5.11,3.21,4.77,3.53,4.36,1586140200,2.49,300,1,0,0,PALACE HILLS
2020-04-06 02:40:00,1,roads_and_bridges,4.08,4.18,2.92,5.41,3,5.11,3.21,4.77,3.53,4.36,1586140200,2.49,600,1,0,0,PALACE HILLS
2020-04-06 02:45:00,1,roads_and_bridges,4.08,4.18,2.92,5.41,3,5.11,3.21,4.77,3.53,4.36,1586140200,2.49,900,1,0,0,PALACE HILLS
