time,loc,cat,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,time_end,CIR,time_diff,in15min,in60min,over60min,locName
2020-04-06 02:00:00,1,sewer_and_water,6.84,6.01,4.03,11.03,3.81,9.79,4.8,9.46,5.1,7.12,1586138400,5.97,0,1,0,0,PALACE HILLS
2020-04-06 02:05:00,1,sewer_and_water,6.84,6.01,4.03,11.03,3.81,9.79,4.8,9.46,5.1,7.12,1586138400,5.97,300,1,0,0,PALACE HILLS
2020-04-06 02:10:00,1,sewer_and_water,6.84,6.01,4.03,11.03,3.81,9.79,4.8,9.46,5.1,7.12,1586138400,5.97,600,1,0,0,PALACE HILLS
2020-04-06 02:15:00,1,sewer_and_water,6.08,5.95,3.62,8.27,4.26,8.14,4.45,7.25,5.19,6.52,1586139300,4.66,0,1,0,0,PALACE HILLS
2020-04-06 02:20:00,1,sewer_and_water,5.44,5.56,2.86,7.51,3.96,7.79,4.27,7.03,4.82,6.11,1586139600,4.65,0,1,0,0,PALACE HILLS
2020-04-06 02:25:00,1,sewer_and_water,4.99,4.74,3.22,6.76,3.53,6.5,3.6,6.07,3.89,5.28,1586139900,3.54,0,1,0,0,PALACE HILLS
2020-04-06 02:30:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,0,1,0,0,PALACE HILLS
2020-04-06 02:35:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,300,1,0,0,PALACE HILLS
2020-04-06 02:40:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,600,1,0,0,PALACE HILLS
2020-04-06 02:45:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,900,1,0,0,PALACE HILLS
2020-04-06 02:50:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,1200,0,1,0,PALACE HILLS
2020-04-06 02:55:00,1,sewer_and_water,5.06,5.04,3.03,7.09,3.34,6.63,3.67,6.26,4.47,5.67,1586140200,4.06,1500,0,1,0,PALACE HILLS
2020-04-06 03:00:00,1,sewer_and_water,6.36,5.76,3.8,8.53,4.6,8.39,4.74,7.81,5.12,6.5,1586142000,4.73,0,1,0,0,PALACE HILLS
2020-04-06 03:05:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,0,1,0,0,PALACE HILLS
2020-04-06 03:10:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,300,1,0,0,PALACE HILLS
2020-04-06 03:15:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,600,1,0,0,PALACE HILLS
2020-04-06 03:20:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,900,1,0,0,PALACE HILLS
2020-04-06 03:25:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,1200,0,1,0,PALACE HILLS
2020-04-06 03:30:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,1500,0,1,0,PALACE HILLS
2020-04-06 03:35:00,1,sewer_and_water,5.63,5.92,4.02,6.9,4.42,6.9,4.67,6.53,4.97,6.01,1586142300,2.87,1800,0,1,0,PALACE HILLS
