cat,loc,time,mcmc.1,mcmc.2,mcmc.3,mcmc.4,mcmc.5,mcmc.6,mcmc.7,mcmc.8,mcmc.9,mcmc.10,mcmc.11,mcmc.12,mcmc.13,mcmc.14,mcmc.15,mcmc.16,mcmc.17,mcmc.18,mcmc.19,mcmc.20,mcmc.21,mcmc.22,mcmc.23,mcmc.24,mcmc.25,mcmc.26,mcmc.27,mcmc.28,mcmc.29,mcmc.30,mcmc.31,mcmc.32,mcmc.33,mcmc.34,mcmc.35,mcmc.36,mcmc.37,mcmc.38,mcmc.39,mcmc.40,mcmc.41,mcmc.42,mcmc.43,mcmc.44,mcmc.45,mcmc.46,mcmc.47,mcmc.48,mcmc.49,mcmc.50,mcmc.51,mcmc.52,mcmc.53,mcmc.54,mcmc.55,mcmc.56,mcmc.57,mcmc.58,mcmc.59,mcmc.60,mcmc.61,mcmc.62,mcmc.63,mcmc.64,mcmc.65,mcmc.66,mcmc.67,mcmc.68,mcmc.69,mcmc.70,mcmc.71,mcmc.72,mcmc.73,mcmc.74,mcmc.75,mcmc.76,mcmc.77,mcmc.78,mcmc.79,mcmc.80,mcmc.81,mcmc.82,mcmc.83,mcmc.84,mcmc.85,mcmc.86,mcmc.87,mcmc.88,mcmc.89,mcmc.90,mcmc.91,mcmc.92,mcmc.93,mcmc.94,mcmc.95,mcmc.96,mcmc.97,mcmc.98,mcmc.99,mcmc.100,mcmc.101,mcmc.102,mcmc.103,mcmc.104,mcmc.105,mcmc.106,mcmc.107,mcmc.108,mcmc.109,mcmc.110,mcmc.111,mcmc.112,mcmc.113,mcmc.114,mcmc.115,mcmc.116,mcmc.117,mcmc.118,mcmc.119,mcmc.120,mcmc.121,mcmc.122,mcmc.123,mcmc.124,mcmc.125,mcmc.126,mcmc.127,mcmc.128,mcmc.129,mcmc.130,mcmc.131,mcmc.132,mcmc.133,mcmc.134,mcmc.135,mcmc.136,mcmc.137,mcmc.138,mcmc.139,mcmc.140,mcmc.141,mcmc.142,mcmc.143,mcmc.144,mcmc.145,mcmc.146,mcmc.147,mcmc.148,mcmc.149,mcmc.150,mcmc.151,mcmc.152,mcmc.153,mcmc.154,mcmc.155,mcmc.156,mcmc.157,mcmc.158,mcmc.159,mcmc.160,mcmc.161,mcmc.162,mcmc.163,mcmc.164,mcmc.165,mcmc.166,mcmc.167,mcmc.168,mcmc.169,mcmc.170,mcmc.171,mcmc.172,mcmc.173,mcmc.174,mcmc.175,mcmc.176,mcmc.177,mcmc.178,mcmc.179,mcmc.180,mcmc.181,mcmc.182,mcmc.183,mcmc.184,mcmc.185,mcmc.186,mcmc.187,mcmc.188,mcmc.189,mcmc.190,mcmc.191,mcmc.192,mcmc.193,mcmc.194,mcmc.195,mcmc.196,mcmc.197,mcmc.198,mcmc.199,mcmc.200,time_end
shake_intensity,1,2020-04-09 15:50:00,0.3716963,0.4174178,0.3892832,0.4783593,0.5109983,0.4389302,0.4572489,0.3832666,0.3643804,0.3783922,0.3559230,0.3272381,0.3438113,0.3676908,0.3836839,0.3631950,0.3461788,0.3700487,0.3747060,0.3314733,0.3426048,0.3298405,0.3605226,0.4007530,0.4669637,0.4929432,0.4086174,0.3820493,0.3889173,0.4138479,0.4378836,0.3500209,0.3749440,0.3484956,0.3458540,0.3339736,0.3349291,0.3646061,0.3321411,0.3433105,0.3855019,0.3679712,0.3653568,0.3378047,0.3813903,0.3494722,0.3353105,0.4086307,0.4231678,0.4535796,0.3711679,0.3970688,0.4134611,0.3358831,0.3116663,0.3282112,0.3441037,0.3458169,0.3127568,0.2939560,0.2549062,0.2819828,0.3051773,0.3556629,0.3850502,0.3223374,0.3689310,0.3699462,0.3652495,0.3672560,0.3788278,0.3829000,0.3674998,0.3544885,0.3246347,0.3308580,0.3149640,0.3873397,0.3613750,0.3081602,0.3357902,0.3596395,0.3568185,0.3841692,0.3689775,0.3418356,0.3257930,0.2975136,0.3498887,0.2855743,0.2731245,0.2326018,0.2114074,0.2219246,0.2869624,0.2801416,0.3110008,0.3245801,0.3290517,0.3074070,0.3038289,0.3117200,0.2945052,0.2974738,0.3306535,0.3987001,0.4390089,0.4931498,0.3889949,0.4252038,0.4409677,0.4357966,0.3738555,0.3717686,0.4083212,0.4447715,0.3544012,0.4026687,0.4173348,0.3664174,0.2822157,0.3118312,0.2884450,0.2827528,0.2530874,0.2684876,0.2784288,0.2832248,0.2660149,0.2410508,0.2224615,0.2484550,0.2331413,0.2014844,0.2454981,0.2922948,0.2921214,0.3608351,0.3557449,0.4118540,0.4172410,0.3358858,0.4029349,0.3701332,0.3622776,0.3608875,0.3389706,0.3681262,0.3177653,0.3164764,0.3148460,0.3410617,0.3614625,0.3491510,0.2974803,0.3226899,0.3053518,0.2905239,0.3249698,0.3342936,0.3695260,0.4087025,0.4159732,0.3747077,0.3780416,0.3243465,0.3626402,0.3382381,0.2770037,0.3053294,0.3077159,0.3212340,0.3419361,0.3558853,0.3603073,0.3493746,0.3377898,0.4029509,0.4218276,0.4065424,0.3777010,0.3687907,0.3124514,0.3380284,0.3312340,0.3600000,0.3302866,0.3098242,0.2447766,0.1985986,0.2150420,0.1987998,0.1924704,0.2199727,0.2322322,0.2262141,0.2301509,0.2132376,0.2164164,0.2109388,2020-04-09 15:50:00
shake_intensity,1,2020-04-08 21:20:00,0.8526665,0.6996948,0.9721836,0.4971574,0.8496383,0.7509083,0.6821611,0.8862915,0.6100735,0.9037347,0.7447247,0.9112360,1.0339734,0.5721792,0.8377150,1.0261196,0.6685203,0.5306372,0.9069143,0.8527003,0.6714438,0.8348824,0.6917537,1.2207088,0.8345759,0.7672542,0.8547743,0.7490426,0.7406688,0.6890867,0.8145540,0.7339713,0.5783623,0.7896557,0.6565279,0.4895299,0.7214953,0.6281479,0.6601989,0.6381873,0.6013955,0.8760655,0.7483086,0.6080834,0.6640853,0.4952647,0.6709508,0.5868033,0.6424872,0.8626400,0.8106063,0.6797770,0.8097152,1.2491475,0.6666852,0.7772268,0.6773696,0.6097461,0.5513556,0.6751759,0.7381615,0.9068811,0.8349540,0.6451616,1.0069995,0.9012513,0.6882410,0.9013710,0.5706065,0.7263943,0.6773739,1.0638632,0.8322064,0.5852547,0.5724766,0.5527058,0.5776098,0.9285637,0.9718079,0.9684724,0.7559859,0.8096785,0.8160886,0.8407290,0.9467229,0.8653687,0.9351157,0.7116094,0.6727118,0.5973449,0.6551725,0.5808749,0.5580101,0.8201467,0.6550131,0.5859021,0.6619034,0.8242043,0.5193771,0.7833461,0.6446182,0.6286538,0.7789441,0.8247759,0.7351269,0.6565266,0.6556107,0.6904842,0.6777492,0.5857975,0.7396614,0.6040424,0.9071628,0.7590096,0.8704570,0.4794576,0.8469020,0.8169257,0.7132705,0.8056090,0.5734607,0.7283516,0.7214968,0.9881529,0.8246113,0.7264757,0.4894195,0.6336357,0.6852352,0.5630142,0.6201796,0.7830812,0.5760264,0.6912823,0.7360638,0.6320947,0.7178333,0.5429920,0.8765354,0.7637583,0.6679129,0.8286387,0.9118877,0.9049034,0.7774944,0.8248930,0.7191268,0.9077711,0.6771661,0.5760221,0.6222995,0.5921645,0.6501368,0.5912130,0.6925481,0.7225255,0.7266277,0.7859676,0.9288069,0.8239215,0.9885115,0.8026574,1.1610447,0.9345736,0.7262549,0.7908646,0.7350970,0.7233824,0.7443225,0.6516089,0.4849181,0.4960544,0.5498787,0.5721442,0.5098855,0.9085279,0.7653050,0.6510590,0.5461276,0.6413712,0.5937643,0.6440169,0.5015552,0.5525713,0.4889002,0.6638860,0.5643596,0.5816562,0.6803238,0.9197621,0.6479902,0.5126228,0.6531925,0.4953059,0.7326829,0.7052072,0.6245939,0.5811992,0.8421717,0.6261849,2020-04-08 21:20:00
shake_intensity,1,2020-04-09 15:55:00,0.3941194,0.3761138,0.3900868,0.4342635,0.4297604,0.4027396,0.4110968,0.4370719,0.3677075,0.3808381,0.3688971,0.3781568,0.4731012,0.4418111,0.4225376,0.4860785,0.5045148,0.4946296,0.5027348,0.4624321,0.4014295,0.3987177,0.3867548,0.3600280,0.3455531,0.3391194,0.3672544,0.2985828,0.3039931,0.2781666,0.2806475,0.3099833,0.3565105,0.3856033,0.3463828,0.2640009,0.3172416,0.3918534,0.3404740,0.3565657,0.3180223,0.3481235,0.3474593,0.3272064,0.2877960,0.3040718,0.3075488,0.3305083,0.3056788,0.2629477,0.2944080,0.2718215,0.2318942,0.1819034,0.1604725,0.1637226,0.1418637,0.1848675,0.2055226,0.1980723,0.1910253,0.1968791,0.2489102,0.2902226,0.2819894,0.2989016,0.2496513,0.2362507,0.2579216,0.2052627,0.2057614,0.2003846,0.1830915,0.1824629,0.1700352,0.1846093,0.2281006,0.2179932,0.2166382,0.2361261,0.2215772,0.2305680,0.2803147,0.2275535,0.2321599,0.2378528,0.1983607,0.1660652,0.1499862,0.1435945,0.1532933,0.1703757,0.1715845,0.1633345,0.1736716,0.1758861,0.1970905,0.2035891,0.2439570,0.2216288,0.1823844,0.2025902,0.2076782,0.2380123,0.2440928,0.2413600,0.2473130,0.2334497,0.2454219,0.2589863,0.2280799,0.2387265,0.2390070,0.3118336,0.3285182,0.3271224,0.3209069,0.3563534,0.3634717,0.2988514,0.2713825,0.2511909,0.2693902,0.1800382,0.2209385,0.2222270,0.2405849,0.1998865,0.1752278,0.1890754,0.1772915,0.1887542,0.2035972,0.2199198,0.1951152,0.1970449,0.1932472,0.2038086,0.2192182,0.2340079,0.2519268,0.3183332,0.2568040,0.2686383,0.2134730,0.2338525,0.1989896,0.2272400,0.1974626,0.1864641,0.2021724,0.1882326,0.1793685,0.1699006,0.2048843,0.1927850,0.2004553,0.1680682,0.1785104,0.2359652,0.2306912,0.1984867,0.1955424,0.2180166,0.2647514,0.2478886,0.2008270,0.2835717,0.2589246,0.3146985,0.2503886,0.2728913,0.3026541,0.2807886,0.2413662,0.2512101,0.2146617,0.2620039,0.2055609,0.2168610,0.2955266,0.2876388,0.2411347,0.2271944,0.2206242,0.2142246,0.2105113,0.2318192,0.2277195,0.2194249,0.2011474,0.2105790,0.2146954,0.2407333,0.1742066,0.1694611,0.2067219,0.1885346,0.1741352,0.1580461,2020-04-09 15:55:00
shake_intensity,1,2020-04-09 00:20:00,0.8931244,0.7423266,0.9495503,0.7548247,0.6615536,0.6047012,0.5875536,0.8071020,0.8647618,0.6760376,0.9046803,0.6666658,0.8592501,0.7985578,0.7040773,0.7315941,0.5634689,0.5902962,0.8663646,0.6475418,0.8454698,0.7990337,0.7340017,0.5518541,0.4861460,0.6831592,0.7422311,0.9406036,0.7529633,0.5711426,0.6729263,0.6731094,0.5841195,0.7021438,0.6829211,0.8361187,0.7786232,0.6552975,0.7804345,0.6059370,0.5421120,0.5063858,0.6114596,0.8147244,0.5792417,0.7213883,0.7521281,0.5250667,0.5445724,0.6026844,0.7152938,0.4505708,0.5240688,0.6667739,0.8220805,0.5030062,0.6301042,0.6048414,0.8737895,0.7361860,1.0316956,0.6707104,0.8219247,1.1100482,0.9475801,0.8139044,1.0456608,0.8726959,0.9131034,0.7131722,1.0003990,0.5588674,0.6551316,0.6898924,0.7317473,0.8375389,0.5789858,0.6986479,0.7353223,0.5984112,0.6731535,0.8423091,0.6956903,0.6576393,0.7109883,0.7357807,0.7427876,0.7494076,1.2042980,0.8015282,0.7960926,0.8159073,0.9405215,0.7166996,0.7460262,0.6830491,0.5721285,0.5344365,0.5463557,0.6076434,0.6566659,0.8230347,0.8520619,0.8582528,0.6549834,0.7018951,0.7486663,0.7483874,0.7568857,0.7149420,0.8654396,0.8963456,0.6952748,0.8687603,0.4365840,0.9737577,0.8129020,0.8295045,1.0057431,0.7404876,0.8419696,0.6826589,0.5902168,0.7031520,0.4665208,0.5878282,0.6552417,0.8381142,0.6031417,0.6510352,0.6162776,0.5661562,0.3826034,0.4688429,0.5508731,0.9283488,1.0374623,0.7570669,0.7124668,0.6650297,0.7201222,0.8492865,0.9498702,0.7532434,0.9553451,0.6983959,0.6333894,0.6953969,0.5716194,0.3896576,0.6759610,0.9597978,0.8318062,0.7890989,0.5867181,0.6814218,0.9214530,0.8374185,0.8438047,0.4391806,0.6490268,0.8550942,0.8233294,0.5139340,0.2947617,0.4141036,0.6916291,0.6070384,0.6680050,0.6572807,0.5826496,0.8173039,0.6896962,0.5034464,0.4732920,0.4995615,0.6059628,0.8752870,0.6480349,0.9879695,0.6443227,0.8507518,0.5777969,0.3996485,0.5492999,0.5915006,0.6045294,0.6800030,0.6354264,0.7629408,0.3138620,0.3434231,0.7001995,0.5089317,0.7405811,0.4816597,0.9049458,0.6204712,0.6714664,1.1010492,2020-04-09 00:20:00
shake_intensity,1,2020-04-09 01:25:00,0.7954875,0.6723382,0.6881684,0.8065740,0.6884983,1.0220919,0.8009281,0.9241986,0.6992680,0.7649595,0.6884887,0.9949139,0.7919867,0.7312899,0.6889097,0.7549160,0.7512119,0.6576147,0.9016227,0.8218071,0.6664415,0.8498020,0.7656628,0.9395753,0.7689271,0.7997681,0.6868392,0.6991474,0.7042176,0.9254988,0.8659324,0.9827283,0.8166283,0.8682643,0.8806111,0.8133720,0.9832460,0.7754379,0.9421624,0.6923236,0.7175476,0.8280034,0.9070688,0.7547694,0.8228459,0.7476165,0.7614202,0.8631748,0.8612458,0.8375363,0.7931926,0.8201869,0.9079366,0.6763149,0.7986910,0.5634992,0.7780746,0.5842443,0.8592292,0.9134559,0.6571512,1.0146159,0.7136614,0.7654555,0.7693753,1.1621065,1.0265063,1.0877162,1.3308520,0.8314713,0.7881703,0.8115805,0.7252797,0.9597653,0.7435136,0.5698422,0.6546069,0.7237160,0.6384313,0.6402525,0.6879052,0.5480984,0.6517219,0.6770770,1.3958963,1.2031099,0.8708479,0.7336053,0.7034278,0.8274665,0.7106890,0.6512291,0.4627248,0.5592101,0.6113641,0.6387666,0.6115221,0.7366541,0.7881486,1.2757748,0.8020113,0.7185683,0.7765788,0.6435272,0.7273178,0.7608840,0.7261893,0.7297590,0.8459609,0.5482042,0.5009651,0.5723853,0.6804950,0.7132120,0.7492310,1.0499498,0.8790789,0.9398957,0.9854481,0.7016926,0.6909931,0.9494294,0.6302384,0.8176820,0.6455212,0.6772348,0.8295057,0.7864314,0.6583782,0.5951347,0.7430604,0.7191128,0.7716606,0.7100990,0.5920547,0.8341599,0.6983578,0.6339142,0.6384768,0.6652811,0.8739760,0.8538402,0.7851328,0.8162297,0.8136016,0.7991439,0.5356268,0.6262981,0.6574729,0.6074297,0.8036094,0.8153006,0.9114987,0.9828987,0.8287820,1.0205133,0.8235247,1.2956732,0.7779317,0.5121116,0.7072171,0.7452554,0.6804315,0.8005179,0.6778724,0.7762095,0.9030254,0.5355174,0.8964166,0.7463032,0.5744355,0.5999917,0.6234377,0.5730439,0.7934951,0.6503424,0.5293475,0.7278973,0.7037495,0.6765313,0.6241847,0.6223309,0.5955485,0.7174085,0.6244488,0.5583786,0.6340545,0.7984984,0.5864583,0.6843397,0.6507832,0.6473231,0.5837639,0.9128273,0.6034345,0.4343110,0.3520486,0.5312995,0.4510229,0.4666912,2020-04-09 01:25:00
shake_intensity,1,2020-04-09 16:00:00,0.3383155,0.3405843,0.2950815,0.3276026,0.3468317,0.3019763,0.2917693,0.2804028,0.3156524,0.2618956,0.2870379,0.2803059,0.3294532,0.3158614,0.2934623,0.3310249,0.3659458,0.3565687,0.3412753,0.3242209,0.3841641,0.3370761,0.3019093,0.2461004,0.2602272,0.2243523,0.2065580,0.1956305,0.2041017,0.2234616,0.2238268,0.2272583,0.2468167,0.1952422,0.2081225,0.2133126,0.1898635,0.2685706,0.2099580,0.2533894,0.2307829,0.2423863,0.2237022,0.2250289,0.2165604,0.2411710,0.2930328,0.3092836,0.3053621,0.2785216,0.3283512,0.3858465,0.3903652,0.4201458,0.3788887,0.3781435,0.4331586,0.3632361,0.3771533,0.3438169,0.3180563,0.3384607,0.3156880,0.2978173,0.2858886,0.3193986,0.2861499,0.2927747,0.2991056,0.2621598,0.2392103,0.2112112,0.1524916,0.1818277,0.1839964,0.1696799,0.1651205,0.2013859,0.2119804,0.2044908,0.2230818,0.2171730,0.2218550,0.2233594,0.2081705,0.1704581,0.1757893,0.1939349,0.1812136,0.1800169,0.2107645,0.2218776,0.1795343,0.1448033,0.1493038,0.1791106,0.2094007,0.1944599,0.2052100,0.1815363,0.1816778,0.2289588,0.2065186,0.1683550,0.1629981,0.2032568,0.2147140,0.2440819,0.2202187,0.2435388,0.2968808,0.2717490,0.2769716,0.2539072,0.2070978,0.2369584,0.2368959,0.2350204,0.2566115,0.2531916,0.2433102,0.2894363,0.2991222,0.2770526,0.2818065,0.2674358,0.2667689,0.2922824,0.2735877,0.3015165,0.2775894,0.2937445,0.3342771,0.2681858,0.2579583,0.2607360,0.2280278,0.2092120,0.1710649,0.1497074,0.1721540,0.1843568,0.1891087,0.2076805,0.2084612,0.1615230,0.1650671,0.1801299,0.1554189,0.1313566,0.1487235,0.1503912,0.1629331,0.1836742,0.1487827,0.1635790,0.1687606,0.1611815,0.1859827,0.1993071,0.2327423,0.2008353,0.1855961,0.1912218,0.1682227,0.2119727,0.2302629,0.1833831,0.2109550,0.2643589,0.2465733,0.2057242,0.1819637,0.1976968,0.1972005,0.1805139,0.1772357,0.1702843,0.1295394,0.1593755,0.1940447,0.1948776,0.1956276,0.1702510,0.2053058,0.2028626,0.1738726,0.2602330,0.2200099,0.2291731,0.2270754,0.2659966,0.2506420,0.2116347,0.2210087,0.2411902,0.2374920,0.2624022,0.2053081,0.1945070,2020-04-09 16:00:00
shake_intensity,1,2020-04-09 02:35:00,0.7565324,0.9274820,0.7456125,0.6975242,0.8187997,0.7955091,0.9099489,0.7964609,0.8442502,0.7133620,0.8530640,0.7261099,0.7572521,0.9584030,1.0167588,0.8969626,0.7193882,0.6526932,0.7072275,0.7329557,1.0007906,0.8308722,0.8318112,0.8499350,0.9096166,0.9213353,0.9646433,0.9331090,0.8861584,0.8250116,0.7155257,0.7522709,0.9429119,0.9076580,0.7902776,0.7646592,0.8079127,0.6868057,0.7086215,0.7323199,0.6800341,0.7415852,0.9944416,0.8888904,0.8370388,0.8734903,0.8503394,0.6683631,0.5882525,0.6778874,0.7200024,0.8357641,0.8322306,0.6580897,0.6507994,0.8494393,0.8063365,0.9701375,0.6512933,0.7562001,0.7168315,1.0456286,0.8781138,0.9389410,0.7122224,0.7058395,0.8460575,0.8785632,0.7572680,0.7795660,0.7617934,0.8557461,0.6988681,0.7525873,0.5835732,0.8224354,0.8188122,0.6575360,0.5256978,0.7373485,0.9017626,0.7558150,0.7892721,0.8613320,0.7791200,0.8169747,0.6556623,0.7412246,0.7274140,0.6967915,0.6177983,0.7160170,0.7135950,0.7096355,0.9163560,0.8204795,0.6057723,0.7957436,0.9598945,0.8752393,0.8692126,0.5890336,0.7563595,0.8781294,0.8786954,0.8322787,0.6972713,0.7865218,0.7592768,0.8969742,0.8161090,0.6808877,0.6796964,0.7306229,0.8068713,0.8407598,0.6933263,0.6741627,0.8719997,0.8739831,0.7349883,0.7833833,0.6267264,0.7228460,0.6470368,0.8690600,0.8247409,0.8375506,0.8568365,0.7805905,0.7126131,0.7331617,0.7598397,0.7087307,0.8115918,0.7885377,0.7412836,0.7402455,0.6785825,0.7076798,0.6973428,0.7725268,0.7670876,0.8152451,0.7142952,0.8476060,0.8165680,1.0265255,0.9137781,0.8029781,0.9575426,0.9751135,0.7468320,0.8281409,0.8298746,0.7860404,0.8498462,0.8084682,0.8081083,0.7253021,0.7885860,0.8871020,0.7254104,0.5648334,0.6403942,0.9907264,0.7290735,0.8775247,0.9470538,0.7124528,0.8997550,0.8025552,0.7771459,0.7778475,0.6031128,0.5643492,0.5893837,0.5645571,0.5702157,0.4644805,0.6987828,0.8656056,0.6769079,0.6178903,0.6600205,0.6882905,0.7693465,0.7151244,0.8353815,0.8441376,1.1161860,0.9026045,0.7368688,0.5851232,0.7725430,0.6410577,0.8160848,0.6896608,0.4986790,0.7428058,2020-04-09 02:35:00
shake_intensity,1,2020-04-09 16:05:00,0.2816623,0.2573407,0.3098427,0.3199898,0.2982055,0.2825621,0.3205845,0.2791713,0.2415416,0.2276766,0.2583198,0.2980421,0.2941590,0.2891604,0.2711780,0.2624893,0.2595506,0.2459338,0.3131172,0.2460895,0.2588341,0.2840720,0.3164604,0.2852792,0.3373484,0.2802185,0.2696529,0.2410320,0.2452609,0.2393298,0.1985003,0.1582403,0.1734729,0.1568424,0.1361461,0.1747350,0.2015475,0.2049358,0.2126523,0.2072065,0.1828416,0.1812045,0.2025794,0.2243103,0.2459436,0.2445771,0.2354230,0.2463020,0.2551944,0.1934067,0.1895895,0.2064854,0.1986166,0.1958490,0.1980650,0.1718560,0.1845037,0.2253654,0.2677560,0.2591721,0.3043237,0.2636983,0.2934685,0.2953716,0.2874497,0.2922886,0.3127946,0.3325318,0.3453142,0.2999437,0.2848616,0.2638858,0.3006988,0.3105527,0.2324674,0.2563205,0.3175385,0.3277997,0.2952812,0.3236233,0.2975342,0.3137196,0.2913484,0.3198150,0.3085214,0.2620214,0.2785213,0.2185121,0.2255156,0.2449204,0.2408047,0.2274157,0.2401045,0.2151382,0.2032745,0.1968652,0.1668176,0.1548406,0.1585774,0.1413157,0.1500675,0.1792254,0.1779882,0.2235981,0.2208534,0.2230094,0.2082317,0.2182533,0.1869605,0.2256822,0.2485387,0.2056426,0.1820762,0.1679496,0.1795715,0.2080751,0.2498648,0.2708540,0.2731897,0.2634368,0.3064483,0.3110691,0.3034096,0.3369931,0.2885353,0.3150500,0.2766396,0.2814442,0.2854663,0.3284504,0.3645492,0.3439587,0.3515096,0.3457555,0.3798837,0.3979666,0.3076941,0.2636938,0.2497810,0.2658623,0.2413710,0.2364883,0.3194720,0.3034864,0.2980918,0.2999592,0.2813660,0.2370210,0.2058584,0.2724055,0.2556449,0.2602470,0.2623692,0.2026402,0.2441620,0.2108176,0.2331276,0.2273880,0.1866598,0.2363252,0.2494628,0.2805831,0.2363666,0.2232534,0.2374235,0.2622470,0.2308289,0.2370129,0.2917093,0.3047135,0.2248217,0.2418074,0.2443043,0.2696626,0.2635386,0.2229585,0.2459672,0.3010892,0.2620038,0.2551251,0.2665841,0.2203770,0.2195245,0.2458549,0.2555323,0.2418861,0.2421194,0.2714589,0.2565272,0.2227555,0.1927596,0.1907618,0.2003518,0.1865556,0.2418893,0.2277684,0.2419791,0.2108521,0.2167053,0.2581231,2020-04-09 16:05:00
shake_intensity,1,2020-04-09 04:45:00,0.6701893,0.6472944,0.6640724,0.8884478,0.6422967,0.5819147,0.6516922,0.7360580,0.6851260,0.5568106,0.6138744,0.9225953,0.8660163,0.8391247,0.9522915,1.0276794,0.6835167,0.6413735,0.6094079,0.6696516,0.6892475,0.7280443,0.6342365,0.7557560,0.8164489,0.7763778,0.9741582,0.8634846,0.8957967,0.9033274,0.8353640,0.8285133,0.7653824,0.6917963,0.7636069,0.6191997,0.8736679,0.8296349,0.6516071,0.7053573,0.7730741,0.7131484,0.6075767,0.6294761,0.9587156,0.9562661,0.9996979,1.0223580,0.7191535,0.6546921,0.5505761,0.7167822,0.8060465,1.0536282,0.8698811,0.8866984,0.7827899,0.7369255,0.5606748,0.5568506,0.6333848,0.6496561,0.5769270,0.5135455,0.7447579,0.7143231,0.6719849,0.6605251,0.7062578,0.7901331,0.8246109,1.0021046,0.7123529,0.6074424,0.6392833,0.8408537,0.8442181,0.7808989,0.6674157,0.8178599,1.0197351,0.7231299,0.8618737,0.9305950,0.8410899,0.8234482,0.5401719,0.7500176,0.9049073,0.9669909,0.8021790,0.6606351,0.6305202,0.7640467,0.7970434,0.7100962,0.7409737,0.7078638,0.8252624,0.7096577,0.5766225,0.6276004,0.7206084,0.7955076,0.7000971,0.9129880,0.8977368,0.8016324,0.7230280,0.6582030,0.8862631,0.6952758,0.6656565,0.7729633,0.7165395,0.9186302,0.6964470,0.7980715,0.6810305,0.5759125,0.5344762,0.7144169,0.6018555,0.9158406,0.8054768,0.7573762,0.7483440,0.8288835,0.7613771,0.6393788,0.8116142,0.7426490,0.8466294,0.8224711,1.0625512,0.7810648,0.6564915,0.7191560,0.5898680,0.6875035,0.7225887,0.7250339,0.7455715,0.7901678,0.6734664,0.6348483,1.1082079,0.8596128,1.1588439,1.0721599,0.9509021,0.9770991,1.3127930,1.1134860,0.9045752,0.8679585,0.7267728,0.6272953,0.5606901,0.6742594,0.7238318,0.5550554,0.7795633,0.7860072,0.6708111,0.7872542,1.1515343,1.1333128,0.7838717,0.9747239,0.9399664,0.8225781,0.7681977,0.6179816,0.9605596,0.9956643,0.8473075,0.7600652,0.9488704,0.6611707,0.5914460,0.7608084,0.7194542,0.7718752,0.5674738,0.7952678,0.7196581,0.7253569,0.8103887,1.0474555,0.6736262,0.7340029,0.7530196,0.5109029,0.7034101,0.8482093,0.5213322,0.8396724,0.6828546,0.7330759,2020-04-09 04:45:00
shake_intensity,1,2020-04-09 16:10:00,0.3337897,0.2946491,0.3038760,0.2897588,0.2738496,0.2953523,0.2965644,0.2890477,0.2830722,0.2645087,0.2862111,0.2864554,0.2719087,0.3376609,0.3418117,0.3423335,0.3759130,0.3379303,0.2941987,0.2947408,0.2844632,0.2837436,0.2844168,0.2855131,0.2762622,0.2784158,0.2419881,0.2773318,0.3374144,0.3462592,0.3468042,0.3484478,0.3033363,0.2892809,0.2660939,0.2710758,0.2470321,0.2790079,0.2513320,0.2789702,0.2552021,0.2752033,0.3085854,0.2968773,0.2790903,0.2814243,0.3068836,0.2961577,0.2794205,0.2875208,0.2849251,0.2664123,0.2840659,0.3454180,0.3696545,0.3334970,0.3463947,0.3663152,0.3134355,0.3499870,0.3650231,0.3748113,0.4280023,0.3539420,0.3432987,0.3617227,0.3851857,0.3851607,0.3868958,0.3313793,0.2959183,0.2755783,0.3102920,0.3160169,0.3169081,0.3446335,0.3477987,0.3117614,0.3364917,0.3300963,0.4014196,0.4095920,0.3435356,0.3436502,0.2805464,0.3145700,0.2572650,0.2792383,0.2761849,0.2773755,0.2846306,0.3636528,0.3135423,0.3230710,0.3234241,0.3479910,0.3154362,0.3256837,0.3587487,0.3207263,0.3170254,0.3316417,0.3391374,0.2840682,0.2494995,0.2873046,0.2822066,0.2585705,0.2813212,0.2908029,0.3006234,0.2519909,0.2550936,0.2617713,0.2431355,0.1832895,0.1966596,0.2322029,0.2133856,0.2426471,0.2676970,0.2836459,0.2670608,0.2330449,0.2141963,0.2084458,0.2438694,0.2026483,0.2037017,0.2063332,0.2168688,0.2228423,0.2339421,0.2398054,0.2355220,0.2161403,0.2159980,0.2419145,0.2115916,0.2531203,0.2205869,0.2130972,0.1908894,0.2103111,0.2299282,0.1828201,0.1632980,0.1511464,0.1627495,0.2037404,0.2158962,0.2174500,0.2473387,0.2403701,0.2290132,0.2254587,0.2789760,0.2525805,0.2290486,0.2426626,0.2481234,0.2347272,0.2103759,0.1781773,0.1817913,0.1985319,0.2030008,0.2081280,0.2027053,0.2392674,0.2568927,0.2260884,0.2390903,0.2285135,0.2050767,0.2130091,0.2087004,0.2151192,0.2270516,0.2327041,0.2221523,0.1913424,0.2071283,0.2179860,0.2517227,0.2780912,0.2396830,0.2721339,0.2704364,0.2983708,0.3138618,0.3093816,0.3354069,0.3305668,0.3180458,0.3048930,0.3099741,0.3493901,0.3298804,0.3395561,2020-04-09 16:10:00
