cat,loc,time,mean,MAP,hdi95.lower,hdi95.upper,hdi90.lower,hdi90.upper,hdi80.lower,hdi80.upper,hdi50.lower,hdi50.upper,q.0%,q.2.5%,q.5%,q.7.5%,q.10%,q.12.5%,q.15%,q.17.5%,q.20%,q.22.5%,q.25%,q.27.5%,q.30%,q.32.5%,q.35%,q.37.5%,q.40%,q.42.5%,q.45%,q.47.5%,q.50%,q.52.5%,q.55%,q.57.5%,q.60%,q.62.5%,q.65%,q.67.5%,q.70%,q.72.5%,q.75%,q.77.5%,q.80%,q.82.5%,q.85%,q.87.5%,q.90%,q.92.5%,q.95%,q.97.5%,q.100%,time_end
shake_intensity,1,2020-04-09 15:50:00,0.3413995,0.3579907,0.1985986,0.4409677,0.2109388,0.4218276,0.2770037,0.4252038,0.3243465,0.3892832,0.1924704,0.2113957,0.2218270,0.2325741,0.2481593,0.2725449,0.2821808,0.2881856,0.2943953,0.3048739,0.3080492,0.3118006,0.3160227,0.3238081,0.3267323,0.3305159,0.3332406,0.3358436,0.3381438,0.3422872,0.3458355,0.3494210,0.3550170,0.3580174,0.3608561,0.3628483,0.3657280,0.3680216,0.3696520,0.3717162,0.3756332,0.3815386,0.3843454,0.3890453,0.4027086,0.4086190,0.4140604,0.4219281,0.4389341,0.4574918,0.5109983,2020-04-09 15:50:00
shake_intensity,1,2020-04-08 21:20:00,0.7264233,0.6703948,0.4794576,0.9721836,0.4849181,0.9118877,0.5630142,0.9118877,0.5706065,0.7490426,0.4794576,0.4951213,0.5094690,0.5458925,0.5574797,0.5721748,0.5773723,0.5846250,0.5919742,0.6071742,0.6240203,0.6332119,0.6444378,0.6514302,0.6562060,0.6640106,0.6712466,0.6773721,0.6838518,0.6915298,0.7124399,0.7219854,0.7265441,0.7351097,0.7421303,0.7528124,0.7707446,0.7841981,0.8068298,0.8163188,0.8246525,0.8346449,0.8431177,0.8561508,0.8779988,0.9051506,0.9087987,0.9292394,0.9718266,1.0263159,1.2491475,2020-04-08 21:20:00
shake_intensity,1,2020-04-09 15:55:00,0.2603581,0.2122145,0.1499862,0.4370719,0.1580461,0.3941194,0.1499862,0.3305083,0.1694611,0.2440928,0.1418637,0.1604118,0.1693915,0.1735151,0.1771509,0.1823243,0.1862246,0.1906840,0.1966117,0.1982958,0.2004376,0.2033144,0.2054447,0.2095905,0.2146836,0.2187676,0.2213217,0.2274203,0.2306358,0.2336612,0.2370518,0.2406554,0.2440181,0.2492252,0.2538777,0.2623578,0.2700875,0.2804228,0.2876860,0.2986566,0.3044735,0.3152707,0.3271392,0.3413628,0.3563769,0.3673111,0.3813147,0.3944643,0.4228987,0.4626988,0.5045148,2020-04-09 15:55:00
shake_intensity,1,2020-04-09 00:20:00,0.7087271,0.6865901,0.3826034,1.0057431,0.4665208,0.9737577,0.4995615,0.8752870,0.5716194,0.7570669,0.2947617,0.3993987,0.4657233,0.4985554,0.5134338,0.5442648,0.5578154,0.5720394,0.5838255,0.5902783,0.6041824,0.6067426,0.6272143,0.6478746,0.6552031,0.6600857,0.6696282,0.6747678,0.6828031,0.6908042,0.6985219,0.7035915,0.7151003,0.7316592,0.7379067,0.7440021,0.7524204,0.7589759,0.7968321,0.8131777,0.8219637,0.8327765,0.8420375,0.8509811,0.8648635,0.8739766,0.9057616,0.9411268,0.9604958,1.0318397,1.2042980,2020-04-09 00:20:00
shake_intensity,1,2020-04-09 01:25:00,0.7565305,0.7060908,0.434311,1.026506,0.5293475,0.9949139,0.5634992,0.9134559,0.6503424,0.8218071,0.3520486,0.5001083,0.5356213,0.5631775,0.5828311,0.5954968,0.6114984,0.6259745,0.6384677,0.6469176,0.6538856,0.6633828,0.6769133,0.6830902,0.6884950,0.6988513,0.7040304,0.7134704,0.7216446,0.7288747,0.7432870,0.7501719,0.7630129,0.7703465,0.7779889,0.7896015,0.7985658,0.8012801,0.8134409,0.8183708,0.8276007,0.8349196,0.8596325,0.8713953,0.9018331,0.9129059,0.9401224,0.9829247,1.0205922,1.1631316,1.3958963,2020-04-09 01:25:00
shake_intensity,1,2020-04-09 16:00:00,0.2393913,0.2046326,0.1487235,0.3781435,0.1487235,0.3383155,0.1487235,0.2978173,0.1629331,0.2374920,0.1295394,0.1492908,0.1591777,0.1635355,0.1687200,0.1709890,0.1788293,0.1810912,0.1830992,0.1858957,0.1940172,0.1955216,0.2003769,0.2043644,0.2062405,0.2081525,0.2104419,0.2119771,0.2187333,0.2225098,0.2240895,0.2284700,0.2337675,0.2400436,0.2437560,0.2515981,0.2587524,0.2622386,0.2676608,0.2769939,0.2807538,0.2899612,0.2935188,0.2991085,0.3059503,0.3182240,0.3296104,0.3386199,0.3569021,0.3790206,0.4331586,2020-04-09 16:00:00
shake_intensity,1,2020-04-09 02:35:00,0.7788278,0.7327307,0.5643492,0.9907264,0.5643492,0.9331090,0.6507994,0.9163560,0.7122224,0.8503394,0.4644805,0.5648265,0.5889946,0.6178834,0.6504231,0.6580204,0.6777405,0.6857701,0.6971754,0.7042709,0.7094093,0.7135309,0.7165871,0.7253752,0.7317260,0.7371686,0.7423176,0.7544433,0.7572608,0.7659341,0.7774967,0.7846454,0.7897246,0.8027349,0.8082522,0.8162812,0.8211641,0.8301988,0.8354962,0.8441686,0.8498684,0.8578480,0.8722978,0.8781165,0.8873703,0.9018678,0.9140359,0.9392388,0.9601320,0.9946004,1.1161860,2020-04-09 02:35:00
shake_intensity,1,2020-04-09 16:05:00,0.251853,0.246809,0.1500675,0.3373484,0.1718560,0.3284504,0.1958490,0.3205845,0.2182533,0.2854663,0.1361461,0.1582054,0.1733920,0.1810820,0.1866494,0.1933258,0.1985992,0.2031635,0.2070623,0.2122473,0.2192714,0.2229954,0.2252023,0.2275918,0.2346196,0.2370180,0.2409411,0.2418879,0.2444544,0.2459390,0.2490008,0.2553549,0.2576928,0.2598466,0.2624172,0.2637686,0.2696563,0.2726604,0.2803279,0.2829773,0.2877211,0.2925541,0.2976358,0.3000886,0.3043822,0.3099315,0.3138527,0.3198281,0.3286545,0.3453253,0.3979666,2020-04-09 16:05:00
shake_intensity,1,2020-04-09 04:45:00,0.7702321,0.7201371,0.5109029,1.0474555,0.5344762,0.9770991,0.5568106,0.9049073,0.6272953,0.7955076,0.5109029,0.5503160,0.5606893,0.5815406,0.6075633,0.6262834,0.6341087,0.6421351,0.6540921,0.6610502,0.6700549,0.6740853,0.6867902,0.6989108,0.7090298,0.7143817,0.7193349,0.7230866,0.7274721,0.7390508,0.7491808,0.7604182,0.7666493,0.7777317,0.7847259,0.7953577,0.8033332,0.8169075,0.8248063,0.8363982,0.8448210,0.8622362,0.8761870,0.8987152,0.9162590,0.9491243,0.9612028,0.9959668,1.0286682,1.1083398,1.3127930,2020-04-09 04:45:00
shake_intensity,1,2020-04-09 16:10:00,0.2781685,0.2827193,0.1781773,0.3759130,0.2026483,0.3696545,0.2103111,0.3484478,0.2710758,0.3499870,0.1511464,0.1827944,0.1984383,0.2037375,0.2084140,0.2128319,0.2157796,0.2178922,0.2259625,0.2297303,0.2345309,0.2397718,0.2426579,0.2478684,0.2523741,0.2571254,0.2662849,0.2715547,0.2759119,0.2782616,0.2791643,0.2817959,0.2840669,0.2851750,0.2881316,0.2943676,0.2963001,0.3035117,0.3095594,0.3136302,0.3169374,0.3239325,0.3314318,0.3366532,0.3398944,0.3437731,0.3469037,0.3502836,0.3650877,0.3851613,0.4280023,2020-04-09 16:10:00
